,sample_id,study,project,reference_condition,reference_condition_old,condition,rep_id,Strain Description,Strain,Culture Type,Evolved Sample,Base Media,Temperature (C),pH,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Antibiotic for selection,Growth_Phase,Growth Rate (1/hr),Isolate Type,Additional Details,Sequencing Machine,LibraryLayout,Platform,Biological Replicates,doi,GEO,SRX,Run,R1,R2,contact,creator,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates,run_date,n_replicates,PxK_sample_type,deleted_genes,mutated_genes,overexpressed_genes,passed_replicate_correlations,show_study,study_sort,qc_id
pmg_wt_1,pan_fur_MG1655_3,pan_fur,CFP,pmg_wt_445;pmg_wt_446,WT,WT,1,WT,MG1655,Batch,No,M9,37,7,glucose,NH4Cl,,,FeCl2 (0.1mM),,,,,Aerobic; duplicates from fur project,,PAIRED,ILLUMINA,2,https://doi.org/10.1093/nar/gkad253,GSE54900,,,s3://modulome/multi_ecoli/MG1655/raw_rna/pan_fur_3_R1.fastq.gz,s3://modulome/multi_ecoli/MG1655/raw_rna/pan_fur_3_R2.fastq.gz,,,TRUE,,TRUE,TRUE,CFP:WT,,,10/15/2021,,WT,,,,TRUE,pan_fur,0,pxk_0064
pmg_wt_2,pan_fur_MG1655_4,pan_fur,CFP,pmg_wt_445;pmg_wt_446,WT,WT,2,WT,MG1655,Batch,No,M9,37,7,glucose,NH4Cl,,,FeCl2 (0.1mM),,,,,Aerobic; duplicates from fur project,,PAIRED,ILLUMINA,2,https://doi.org/10.1093/nar/gkad253,GSE54900,,,s3://modulome/multi_ecoli/MG1655/raw_rna/pan_fur_4_R1.fastq.gz,s3://modulome/multi_ecoli/MG1655/raw_rna/pan_fur_4_R2.fastq.gz,,,TRUE,,TRUE,TRUE,CFP:WT,,,10/15/2021,,WT,,,,TRUE,pan_fur,0,pxk_0065
pmg_wt_3,Cond_0_R1,in_house_2,INDIMOD,pmg_wt_3;pmg_wt_4,M9_glucose,M9_glucose,1,WT,MG1655,Batch,No,M9,37,7,glucose,NH4Cl,,,,,,,,Aerobic,,PAIRED,ILLUMINA,2,,GSE296075,,,s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_0_Rep_1_S66_L002_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_0_Rep_1_S66_L002_R2_001.fastq.gz,Yuan yuan,Yuan yuan,TRUE,,TRUE,TRUE,INDIMOD:M9_glucose,,,1/1/2024,,WT,,,,TRUE,in_house_2,0,pxk_0108
pmg_wt_4,Cond_0_R2,in_house_2,INDIMOD,pmg_wt_3;pmg_wt_4,M9_glucose,M9_glucose,2,WT,MG1655,Batch,No,M9,37,7,glucose,NH4Cl,,,,,,,,Aerobic,,PAIRED,ILLUMINA,2,,GSE296075,,,s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_0_Rep_2_S67_L002_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_0_Rep_2_S67_L002_R2_001.fastq.gz,Yuan yuan,Yuan yuan,TRUE,,TRUE,TRUE,INDIMOD:M9_glucose,,,1/1/2024,,WT,,,,TRUE,in_house_2,0,pxk_0109
pmg_wt_5,Cond_14_R1,in_house_2,INDIMOD,pmg_wt_3;pmg_wt_4,M9_glucose,sorbital_arginine,1,WT,MG1655,Batch,No,M9,37,7,4g/L sorbital,NH4Cl,,,5mM L-arginine,,,,,Aerobic,,PAIRED,ILLUMINA,2,,GSE296075,,,s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_14_Rep_1_S110_L002_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_14_Rep_1_S110_L002_R2_001.fastq.gz,Yuan yuan,Yuan yuan,TRUE,,TRUE,TRUE,INDIMOD:sorbital_arginine,,,1/1/2024,,WT,,,,TRUE,in_house_2,0,pxk_0110
pmg_wt_6,Cond_14_R2,in_house_2,INDIMOD,pmg_wt_3;pmg_wt_4,M9_glucose,sorbital_arginine,2,WT,MG1655,Batch,No,M9,37,7,4g/L sorbital,NH4Cl,,,5mM L-arginine,,,,,Aerobic,,PAIRED,ILLUMINA,2,,GSE296075,,,s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_14_Rep_2_S111_L002_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_14_Rep_2_S111_L002_R2_001.fastq.gz,Yuan yuan,Yuan yuan,TRUE,,TRUE,TRUE,INDIMOD:sorbital_arginine,,,1/1/2024,,WT,,,,TRUE,in_house_2,0,pxk_0111
pmg_wt_7,Cond_21_R1,in_house_2,INDIMOD,pmg_wt_3;pmg_wt_4,M9_glucose,acetate,1,WT,MG1655,Batch,No,M9,37,7,4g/L acetate,NH4Cl,,,,,,,,Aerobic,,PAIRED,ILLUMINA,2,,GSE296075,,,s3://sbrg-sequencing-files/2023-09-29-IGM-NovaSeq/INDIMOD_NEBR_MG1655_21R1_S1_L003_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-09-29-IGM-NovaSeq/INDIMOD_NEBR_MG1655_21R1_S1_L003_R2_001.fastq.gz,Yuan yuan,Yuan yuan,TRUE,,TRUE,TRUE,INDIMOD:acetate,,,1/1/2024,,WT,,,,TRUE,in_house_2,0,pxk_0112
pmg_wt_8,Cond_21_R2,in_house_2,INDIMOD,pmg_wt_3;pmg_wt_4,M9_glucose,acetate,2,WT,MG1655,Batch,No,M9,37,7,4g/L acetate,NH4Cl,,,,,,,,Aerobic,,PAIRED,ILLUMINA,2,,GSE296075,,,s3://sbrg-sequencing-files/2023-09-29-IGM-NovaSeq/INDIMOD_NEBR_MG1655_21R2_S2_L003_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-09-29-IGM-NovaSeq/INDIMOD_NEBR_MG1655_21R2_S2_L003_R2_001.fastq.gz,Yuan yuan,Yuan yuan,TRUE,,TRUE,TRUE,INDIMOD:acetate,,,1/1/2024,,WT,,,,TRUE,in_house_2,0,pxk_0113
pmg_wt_9,Cond_22_R1,in_house_2,INDIMOD,pmg_wt_3;pmg_wt_4,M9_glucose,stationary,1,WT,MG1655,Batch,No,M9,37,7,glucose,NH4Cl,,,,,stationary,,,Aerobic,,PAIRED,ILLUMINA,2,,GSE296075,,,s3://sbrg-sequencing-files/2023-09-06-IGM-NovaSeq/INDIMOD_NEBR_MG1655_22_R1_S53_L008_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-09-06-IGM-NovaSeq/INDIMOD_NEBR_MG1655_22_R1_S53_L008_R2_001.fastq.gz,Yuan yuan,Yuan yuan,TRUE,,TRUE,TRUE,INDIMOD:stationary,,,1/1/2024,,WT,,,,TRUE,in_house_2,0,pxk_0114
pmg_wt_10,Cond_22_R2,in_house_2,INDIMOD,pmg_wt_3;pmg_wt_4,M9_glucose,stationary,2,WT,MG1655,Batch,No,M9,37,7,glucose,NH4Cl,,,,,stationary,,,Aerobic,,PAIRED,ILLUMINA,2,,GSE296075,,,s3://sbrg-sequencing-files/2023-09-06-IGM-NovaSeq/INDIMOD_NEBR_MG1655_22_R2_S54_L008_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-09-06-IGM-NovaSeq/INDIMOD_NEBR_MG1655_22_R2_S54_L008_R2_001.fastq.gz,Yuan yuan,Yuan yuan,TRUE,,TRUE,TRUE,INDIMOD:stationary,,,1/1/2024,,WT,,,,TRUE,in_house_2,0,pxk_0115
pmg_wt_11,Cond_23_R1,in_house_2,INDIMOD,pmg_wt_3;pmg_wt_4,M9_glucose,TB,1,WT,MG1655,Batch,No,TB,37,7,,,,,,,,,,Aerobic,,PAIRED,ILLUMINA,2,,GSE296075,,,s3://sbrg-sequencing-files/2023-09-06-IGM-NovaSeq/INDIMOD_NEBR_MG1655_23_R1_S65_L008_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-09-06-IGM-NovaSeq/INDIMOD_NEBR_MG1655_23_R1_S65_L008_R2_001.fastq.gz,Yuan yuan,Yuan yuan,TRUE,,TRUE,TRUE,INDIMOD:TB,,,1/1/2024,,WT,,,,TRUE,in_house_2,0,pxk_0116
pmg_wt_12,Cond_23_R2,in_house_2,INDIMOD,pmg_wt_3;pmg_wt_4,M9_glucose,TB,2,WT,MG1655,Batch,No,TB,37,7,,,,,,,,,,Aerobic,,PAIRED,ILLUMINA,2,,GSE296075,,,s3://sbrg-sequencing-files/2023-09-06-IGM-NovaSeq/INDIMOD_NEBR_MG1655_23_R2_S66_L008_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-09-06-IGM-NovaSeq/INDIMOD_NEBR_MG1655_23_R2_S66_L008_R2_001.fastq.gz,Yuan yuan,Yuan yuan,TRUE,,TRUE,TRUE,INDIMOD:TB,,,1/1/2024,,WT,,,,TRUE,in_house_2,0,pxk_0117
