,sample_id,study,project,reference_condition,condition,rep_id,Strain Description,Strain,Culture Type,Evolved Sample,Base Media,Temperature (C),pH,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Antibiotic for selection,Growth_Phase,Growth Rate (1/hr),Isolate Type,Additional Details,Sequencing Machine,LibraryLayout,Platform,Biological Replicates,doi,GEO,SRX,Run,R1,R2,contact,creator,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates,run_date,n_replicates,PxK_sample_type,deleted_genes,mutated_genes,overexpressed_genes
p1k_00001,control__wt_glc__1,Control,control,wt_glc,wt_glc,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,,,,,,MiSeq,PAIRED,ILLUMINA,2,doi.org/10.1093/nar/gky069,GSE65643,SRX865357,SRR1787590,s3://precise-db/raw_data/control/MG1655-M9-glucose-1_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/control/MG1655-M9-glucose-1_S1_L001_R2_001.fastq.gz,Sangwoo Seo,Sangwoo Seo,TRUE,TRUE,TRUE,TRUE,control:wt_glc,TRUE,TRUE,4/17/2013,2,WT,,,
p1k_00002,control__wt_glc__2,Control,control,wt_glc,wt_glc,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,,,,,,MiSeq,PAIRED,ILLUMINA,2,doi.org/10.1093/nar/gky069,GSE65643,SRX865358,SRR1787591,s3://precise-db/raw_data/control/MG1655-M9-glucose-2_S2_L001_R1_001.fastq.gz,s3://precise-db/raw_data/control/MG1655-M9-glucose-2_S2_L001_R2_001.fastq.gz,Sangwoo Seo,Sangwoo Seo,TRUE,TRUE,TRUE,TRUE,control:wt_glc,TRUE,TRUE,4/17/2013,2,WT,,,
p1k_00003,fur__wt_dpd__1,Fur,fur,wt_fe,wt_dpd,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,DPD (0.2mM),,,0,,,MiSeq,PAIRED,ILLUMINA,2,doi.org/10.1038/ncomms5910,GSE54900,SRX469840,SRR1168135,s3://precise-db/raw_data/fur/WTDPD1_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/fur/WTDPD1_S1_L001_R2_001.fastq.gz,Sangwoo Seo,Sangwoo Seo,TRUE,TRUE,TRUE,TRUE,fur:wt_dpd,TRUE,TRUE,10/2/2013,2,WT,,,
p1k_00004,fur__wt_dpd__2,Fur,fur,wt_fe,wt_dpd,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,DPD (0.2mM),,,0,,,MiSeq,PAIRED,ILLUMINA,2,doi.org/10.1038/ncomms5910,GSE54900,SRX469841,SRR1168136,s3://precise-db/raw_data/fur/WTDPD2_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/fur/WTDPD2_S1_L001_R2_001.fastq.gz,Sangwoo Seo,Sangwoo Seo,TRUE,TRUE,TRUE,TRUE,fur:wt_dpd,TRUE,TRUE,10/2/2013,2,WT,,,
p1k_00005,fur__wt_fe__1,Fur,fur,wt_fe,wt_fe,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,FeCl2 (0.1mM),,,1.06,,,MiSeq,PAIRED,ILLUMINA,2,doi.org/10.1038/ncomms5910,GSE54900,SRX469838,SRR1168133,s3://precise-db/raw_data/fur/WT-Fe2-1_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/fur/WT-Fe2-1_S1_L001_R2_001.fastq.gz,Sangwoo Seo,Sangwoo Seo,TRUE,TRUE,TRUE,TRUE,fur:wt_fe,TRUE,TRUE,9/5/2013,2,WT,,,
p1k_00006,fur__wt_fe__2,Fur,fur,wt_fe,wt_fe,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,FeCl2 (0.1mM),,,1.06,,,MiSeq,PAIRED,ILLUMINA,2,doi.org/10.1038/ncomms5910,GSE54900,SRX469839,SRR1168134,s3://precise-db/raw_data/fur/WT-FE2-2_S2_L001_R1_001.fastq.gz,s3://precise-db/raw_data/fur/WT-FE2-2_S2_L001_R2_001.fastq.gz,Sangwoo Seo,Sangwoo Seo,TRUE,TRUE,TRUE,TRUE,fur:wt_fe,TRUE,TRUE,9/5/2013,2,WT,,,
p1k_00011,acid__wt_ph5__1,Acid,acid,wt_ph5,wt_ph5,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,5.5,glucose(2),NH4Cl(1),O2,,,,,,,,MiSeq,PAIRED,ILLUMINA,2,doi.org/10.1038/ncomms8970,GSE66482,SRX895926,SRR1824557,s3://precise-db/raw_data/acid/RNAseq-WT-pH-5-5-1_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/acid/RNAseq-WT-pH-5-5-1_S1_L001_R2_001.fastq.gz,Sangwoo Seo,Sangwoo Seo,TRUE,TRUE,TRUE,TRUE,acid:wt_ph5,TRUE,TRUE,7/15/2014,2,WT,,,
p1k_00012,acid__wt_ph5__2,Acid,acid,wt_ph5,wt_ph5,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,5.5,glucose(2),NH4Cl(1),O2,,,,,,,,MiSeq,PAIRED,ILLUMINA,2,doi.org/10.1038/ncomms8970,GSE66482,SRX895927,SRR1824558,s3://precise-db/raw_data/acid/RNAseq-WT-pH-5-5-2_S2_L001_R1_001.fastq.gz,s3://precise-db/raw_data/acid/RNAseq-WT-pH-5-5-2_S2_L001_R2_001.fastq.gz,Sangwoo Seo,Sangwoo Seo,TRUE,TRUE,TRUE,TRUE,acid:wt_ph5,TRUE,TRUE,7/15/2014,2,WT,,,
p1k_00019,oxidative__wt_pq__1,Oxidative,oxidative,wt_pq,wt_pq,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,PQ (250uM),,,0,,,MiSeq,PAIRED,ILLUMINA,2,doi.org/10.1016/j.celrep.2015.07.043,GSE65711,SRX871628,SRR1796598,s3://precise-db/raw_data/oxidative/WT-PQ-RNAseq-1_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxidative/WT-PQ-RNAseq-1_S1_L001_R2_001.fastq.gz,Sangwoo Seo,Sangwoo Seo,TRUE,TRUE,TRUE,TRUE,oxidative:wt_pq,TRUE,TRUE,8/27/2014,2,WT,,,
p1k_00020,oxidative__wt_pq__2,Oxidative,oxidative,wt_pq,wt_pq,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(2),NH4Cl(1),O2,,PQ (250uM),,,0,,,MiSeq,PAIRED,ILLUMINA,2,doi.org/10.1016/j.celrep.2015.07.043,GSE65711,SRX871629,SRR1796599,s3://precise-db/raw_data/oxidative/WT-PQ-RNAseq-2_S2_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxidative/WT-PQ-RNAseq-2_S2_L001_R2_001.fastq.gz,Sangwoo Seo,Sangwoo Seo,TRUE,TRUE,TRUE,TRUE,oxidative:wt_pq,TRUE,TRUE,8/27/2014,2,WT,,,
