Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed
p1k_00001	6372886	4564848	53735	229666	0	0	0	0	164092	0	0	0	0	843043	262265	255237	71.62921163190428	6372886.0	6143220.0	96.4	229666.0	3.6	p1k_00001_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6372886.0	0.0	20-30	52.0	24.41006528369112	29.526617454007493	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	6496162	1970622	6496162	201381022	6939544	190056365	5.623497630278189	0.04	0.4476	0.5124
p1k_00002	4346353	3172381	26601	199565	0	0	0	0	85134	0	0	0	0	467149	183558	211965	72.98949256997763	4346353.0	4146788.0	95.41	199565.0	4.59	p1k_00002_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4346353.0	0.0	20-30	52.0	26.32372307961589	29.53981027311864	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	4394188	1383413	4394188	136219828	6035575	128348546	5.778367302005403	0.041	0.4461	0.5129
p1k_00003	11421794	8709903	5167	179345	0	0	0	0	12588	0	0	0	0	1876720	329353	308718	76.2568734823969	11421794.0	11242449.0	98.43	179345.0	1.57	p1k_00003_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11421794.0	0.0	20-31	52.0	16.756661441411875	30.45837221368202	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	2.6	11445313	812673	11445313	354804703	5202270	348514249	1.7729342217879227	0.0264	0.5121	0.4614
p1k_00004	10539531	7892137	2908	131778	0	0	0	0	4483	0	0	0	0	2037463	253336	217426	74.881292156169	10539531.0	10407753.0	98.75	131778.0	1.25	p1k_00004_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10539531.0	0.0	20-31	53.0	19.773307265570068	30.312486295642568	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	10563549	734587	10563549	327470019	4805786	321661760	1.7736765697625592	0.0236	0.5321	0.4443
p1k_00005	10713890	8130048	1175	562512	0	0	0	0	41171	0	0	0	0	1355820	359045	264119	75.88325062138962	10713890.0	10151378.0	94.75	562512.0	5.25	p1k_00005_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10713890.0	0.0	20-31	51.0	15.876551529280851	30.45475070212593	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	10848313	1439302	10848313	336297703	8690930	325858317	3.1042097245606226	0.0317	0.4556	0.5127
p1k_00006	8880301	6704186	1569	510706	0	0	0	0	35416	0	0	0	0	1151763	292213	184448	75.49503108059062	8880301.0	8369595.0	94.25	510706.0	5.75	p1k_00006_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8880301.0	0.0	20-31	51.0	16.808164535645517	30.453684846943816	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	2.6	9037985	1199445	9037985	280177535	8349883	270366795	3.501615502470603	0.0326	0.4557	0.5117
p1k_00011	10673671	8432947	1930	159726	0	0	0	0	10781	0	0	0	0	1369882	361373	337032	79.00699768617564	10673671.0	10513945.0	98.5	159726.0	1.5	p1k_00011_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10673671.0	0.0	20-31	51.0	17.77210659410987	30.44493520551645	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	2.6	10705755	1419747	10705755	331878405	6638143	323503075	2.523614032675612	0.0308	0.4659	0.5033
p1k_00012	10810317	8603589	1252	130681	0	0	0	0	9978	0	0	0	0	1370496	361706	332615	79.58683357759074	10810317.0	10679636.0	98.79	130681.0	1.21	p1k_00012_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10810317.0	0.0	20-31	51.0	17.453902095263732	30.44832237574532	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	2.6	10835549	1405070	10835549	335902019	6158300	328032197	2.342892139627181	0.0304	0.4637	0.5058
p1k_00019	7946523	6454986	985	95385	0	0	0	0	1713	0	0	0	0	1068962	206917	117575	81.2303192226336	7946523.0	7851138.0	98.8	95385.0	1.2	p1k_00019_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7946523.0	0.0	20-76	52.0	20.37875360409415	75.29883421969583	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	7953402	637547	7953402	601338257	169786	600365969	0.1616873679134637	0.0143	0.4794	0.5063
p1k_00020	8027816	6437768	1107	107246	0	0	0	0	2505	0	0	0	0	1146465	207884	124841	80.19326800713917	8027816.0	7920570.0	98.66	107246.0	1.34	p1k_00020_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8027816.0	0.0	20-76	52.0	21.28854220695088	75.29452394025972	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	8039029	964059	8039029	607513767	922973	605386025	0.3502376597171007	0.0147	0.4811	0.5042
p1k_00027	8792332	5390035	352556	495093	0	0	0	0	191849	0	0	0	0	1764989	292560	305250	61.30381564299437	8792332.0	8297239.0	94.37	495093.0	5.63	p1k_00027_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8792332.0	0.0	20-30	52.0	20.21758105648452	29.370347252583272	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	8879503	2236696	8879503	275264593	10358213	261776711	4.899969826486183	0.0348	0.4846	0.4806
p1k_00028	8452621	5137032	556086	228719	0	0	0	0	202170	0	0	0	0	1763418	270427	294769	60.774427245702846	8452621.0	8223902.0	97.29	228719.0	2.71	p1k_00028_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8452621.0	0.0	20-30	52.0	18.583938897482422	29.40874410434349	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	8527195	2484528	8527195	264343045	12061121	249304896	5.688876361396231	0.0335	0.4719	0.4946
p1k_00029	6901687	4959120	1374	399717	0	0	0	0	124957	0	0	0	0	898226	255883	262410	71.85373662989932	6901687.0	6501970.0	94.21	399717.0	5.79	p1k_00029_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6901687.0	0.0	20-30	52.0	23.07755367616856	29.4267733381708	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	6969271	2056552	6969271	216047401	7327178	205498350	4.882748392793672	0.0382	0.4569	0.5049
p1k_00030	9737032	6668568	309952	627670	0	0	0	0	180065	0	0	0	0	1229831	355106	365840	68.48666000070658	9737032.0	9109362.0	93.55	627670.0	6.45	p1k_00030_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9737032.0	0.0	20-30	51.0	18.98359462294812	29.44779682350844	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	9832264	3135580	9832264	304800184	12947717	287671934	5.619501200826046	0.0379	0.44	0.5221
p1k_00031	4907936	3488093	58343	151116	0	0	0	0	111836	0	0	0	0	732579	185739	180230	71.0704662815489	4907936.0	4756820.0	96.92	151116.0	3.08	p1k_00031_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4907936.0	0.0	20-30	51.0	24.73651506837504	29.469149149459163	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	4954483	1594895	4954483	153588973	6362209	145096916	5.52907987736854	0.0409	0.4639	0.4952
p1k_00032	7570460	5317072	51847	352322	0	0	0	0	160530	0	0	0	0	1121056	284287	283346	70.23446395595512	7570460.0	7218138.0	95.35	352322.0	4.65	p1k_00032_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7570460.0	0.0	20-30	52.0	21.45261272505679	29.56565836157909	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	2.6	7648208	2282009	7648208	237094448	7900756	225554906	4.867065465826513	0.0403	0.4677	0.4919
p1k_00041	8197795	6632248	969	127446	0	0	0	0	36750	0	0	0	0	987310	257125	155947	80.90282813854213	8197795.0	8070349.0	98.45	127446.0	1.55	p1k_00041_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8197795.0	0.0	21-76	52.0	21.351125957545147	75.2180563188028	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	8206775	993442	8206775	619722573	916758	617480524	0.3617826907847683	0.0174	0.4768	0.5058
p1k_00042	5676095	4547117	67738	91732	0	0	0	0	40687	0	0	0	0	614672	183583	130566	80.10995235280593	5676095.0	5584363.0	98.38	91732.0	1.62	p1k_00042_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5676095.0	0.0	20-76	52.0	23.82608107013469	75.14286001203293	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	5682446	689149	5682446	429222030	670303	427643513	0.367762344351244	0.0183	0.4579	0.5238
p1k_00049	7968852	6369426	8946	234682	0	0	0	0	18191	0	0	0	0	947060	235495	155052	79.92902867313887	7968852.0	7734170.0	97.06	234682.0	2.94	p1k_00049_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7968852.0	0.0	20-76	52.0	28.15977926830373	75.26147856679984	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	2.6	7981080	618059	7981080	603368896	288561	602256120	0.1844271402415811	0.0178	0.4506	0.5316
p1k_00050	8038655	6260157	452	163808	0	0	0	0	38684	0	0	0	0	983544	338077	253933	77.87567696337261	8038655.0	7874847.0	97.96	163808.0	2.04	p1k_00050_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8038655.0	0.0	20-31	52.0	23.77761486496015	30.27466373416946	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	2.6	8100145	1077387	8100145	251104495	5735222	244054432	2.807621185753764	0.0414	0.4535	0.5051
p1k_00051	9151866	7080699	2252	102408	0	0	0	0	41802	0	0	0	0	1254925	377560	292220	77.36891034025192	9151866.0	9049458.0	98.88	102408.0	1.12	p1k_00051_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9151866.0	0.0	20-31	52.0	19.21017828144993	30.343131007381444	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	2.6	9224375	1189905	9224375	285955625	5935754	278575897	2.580724893941149	0.0405	0.4606	0.4989
p1k_00052	9207222	6943367	928	560242	0	0	0	0	20535	0	0	0	0	1145676	311425	225049	75.41218187201308	9207222.0	8646980.0	93.92	560242.0	6.08	p1k_00052_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9207222.0	0.0	20-31	53.0	37.019637668546814	30.02092824524053	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	2.6	9351020	784205	9351020	289881620	4390079	283172158	2.314552402460011	0.0343	0.4378	0.5279
