Object ID,Accession-1,Gene Name,Product,Characterization,log_TPM_median,range,in_iM,precise mapping issue
G0-17105,b4830,aceK-int,small RNA AceK-int,PARTIAL,#N/A,#N/A,#N/A,1
G0-9281,,alaB,glutamate&mdash;pyruvate aminotransferase AlaB,PARTIAL,#N/A,#N/A,#N/A,1
G0-17106,b4831,allZ,small RNA AllZ,PARTIAL,#N/A,#N/A,#N/A,1
EG12112,b2624,alpA,CP4-57 prophage; DNA-binding transcriptional activator AlpA,PARTIAL,#N/A,#N/A,#N/A,1
G0-17125,b4844,ameF,small antisense RNA aMEF,PARTIAL,#N/A,#N/A,#N/A,1
G0-10588,b4592,appX,cytochrome <i>bd</i>-II accessory subunit AppX,PARTIAL,#N/A,#N/A,#N/A,1
G0-17012,b4766,argL,putative translational regulatory protein ArgL,PARTIAL,#N/A,#N/A,#N/A,1
G0-17119,b4839,asflhD,small antisense RNA AsflhD,PARTIAL,#N/A,#N/A,#N/A,1
G0-10653,b4663,azuC,small regulatory membrane protein AzuC,PARTIAL,#N/A,#N/A,#N/A,1
G0-17040,b4794,baxL,putative translational regulatory protein BaxL,PARTIAL,#N/A,#N/A,#N/A,1
G0-17107,b4832,bhsB,small RNA BhsB,PARTIAL,#N/A,#N/A,#N/A,1
G0-8785,b4408,csrB,small regulatory RNA CsrB,PARTIAL,#N/A,#N/A,#N/A,1
G0-8874,b4457,csrC,small regulatory RNA CsrC,PARTIAL,#N/A,#N/A,#N/A,1
G0-10594,b4602,cydH,cytochrome <i>bd</i>-I accessory subunit CydH,PARTIAL,#N/A,#N/A,#N/A,1
G0-9981,b4613,dinQ,membrane toxin DinQ,PARTIAL,#N/A,#N/A,#N/A,1
G7047,b1954,dsrA,small regulatory RNA DsrA,PARTIAL,#N/A,#N/A,#N/A,1
G0-10737,b4707,esrE,small RNA EsrE,PARTIAL,#N/A,#N/A,#N/A,1
G0-17115,b4838,fimR2,small regulatory RNA FimR2,PARTIAL,#N/A,#N/A,#N/A,1
G0-17101,b4826,flgO,small RNA FlgO,PARTIAL,#N/A,#N/A,#N/A,1
G0-17102,b4827,fliX,small RNA FliX,PARTIAL,#N/A,#N/A,#N/A,1
G0-8914,b4452,gadY,small regulatory RNA GadY,PARTIAL,#N/A,#N/A,#N/A,1
G0-16693,,gndA,heat shock-induced protein GndA,PARTIAL,#N/A,#N/A,#N/A,1
EG11269,b2018,hisL,<i>his</i> operon leader peptide,PARTIAL,#N/A,#N/A,#N/A,1
G0-9582,b4415,hokE,small toxic polypeptide HokE,PARTIAL,#N/A,#N/A,#N/A,1
G0-10633,b4667,ibsA,toxic peptide IbsA,PARTIAL,#N/A,#N/A,#N/A,1
G0-10632,b4668,ibsB,putative toxic peptide IbsB,PARTIAL,#N/A,#N/A,#N/A,1
G0-10631,b4665,ibsC,toxic peptide IbsC,PARTIAL,#N/A,#N/A,#N/A,1
G0-10630,b4664,ibsD,putative toxic peptide IbsD,PARTIAL,#N/A,#N/A,#N/A,1
G0-10629,b4666,ibsE,toxic peptide IbsE,PARTIAL,#N/A,#N/A,#N/A,1
G0-16685,b4722,idlP,<i>iraD</i> leader peptide,PARTIAL,#N/A,#N/A,#N/A,1
EG11270,b3766,ilvL,<i>ilvXGMEDA</i> operon leader peptide,PARTIAL,#N/A,#N/A,#N/A,1
G0-10538,,insAB3,InsAB' transposase,PARTIAL,#N/A,#N/A,#N/A,1
G0-10539,,insAB5,InsAB' transposase,PARTIAL,#N/A,#N/A,#N/A,1
G0-10540,,insAB6,InsAB' transposase,PARTIAL,#N/A,#N/A,#N/A,1
G0-10541,,insCD1,IS2 element transposase InsAB',PARTIAL,#N/A,#N/A,#N/A,1
G0-10542,,insCD2,IS2 element transposase InsAB',PARTIAL,#N/A,#N/A,#N/A,1
G0-10543,,insCD3,IS2 element transposase InsAB',PARTIAL,#N/A,#N/A,#N/A,1
G0-10544,,insCD4,IS2 element transposase InsAB',PARTIAL,#N/A,#N/A,#N/A,1
G0-10545,,insCD5,IS2 element transposase InsAB',PARTIAL,#N/A,#N/A,#N/A,1
G0-10546,,insCD6,IS2 element transposase InsAB',PARTIAL,#N/A,#N/A,#N/A,1
G0-10529,,insEF2,IS3 element transposase,PARTIAL,#N/A,#N/A,#N/A,1
G0-10530,,insEF3,IS3 element transposase,PARTIAL,#N/A,#N/A,#N/A,1
G0-10531,,insEF4,IS3 element transposase,PARTIAL,#N/A,#N/A,#N/A,1
G0-10528,,insEF5,IS3 element transposase,PARTIAL,#N/A,#N/A,#N/A,1
EG11275,b3672,ivbL,<i>ilvBN</i> operon leader peptide,PARTIAL,#N/A,#N/A,#N/A,1
G0-17108,b4833,kilS,Rac prophage; small RNA KilS,PARTIAL,#N/A,#N/A,#N/A,1
G0-9605,b4421,ldrB,small toxic polypeptide LdrB,PARTIAL,#N/A,#N/A,#N/A,1
EG11280,b0075,leuL,<i>leu</i> operon leader peptide,PARTIAL,#N/A,#N/A,#N/A,1
G0-10689,b4702,mgtL,leader peptide MgtL,PARTIAL,#N/A,#N/A,#N/A,1
G0-17103,b4828,motR,small RNA MotR,PARTIAL,#N/A,#N/A,#N/A,1
G0-16697,,naRNA4,naRNA4,PARTIAL,#N/A,#N/A,#N/A,1
G0-17088,b4813,narS,putative small regulatory RNA NarS,PARTIAL,#N/A,#N/A,#N/A,1
G0-10738,,nc1,small noncoding RNA involved in nucleoid organization,PARTIAL,#N/A,#N/A,#N/A,1
G0-10598,b4608,ohsC,small regulatory RNA OhsC,PARTIAL,#N/A,#N/A,#N/A,1
EG11271,b2598,pheL,<i>phe</i> operon leader peptide,PARTIAL,#N/A,#N/A,#N/A,1
EG11272,b1715,pheM,<i>pheST-ihfA</i> operon leader peptide,PARTIAL,#N/A,#N/A,#N/A,1
G0-10707,b4703,pmrR,small regulatory membrane protein PmrR,PARTIAL,#N/A,#N/A,#N/A,1
G0-17078,b4805,raiZ,small RNA RaiZ,PARTIAL,#N/A,#N/A,#N/A,1
G0-16600,b4714,ralA,Rac prophage; small regulatory RNA antitoxin RalA,PARTIAL,#N/A,#N/A,#N/A,1
G0-9603,b4420,rdlA,putative antisense regulatory RNA RdlA,PARTIAL,#N/A,#N/A,#N/A,1
G0-9606,b4422,rdlB,putative antisense regulatory RNA RdlB,PARTIAL,#N/A,#N/A,#N/A,1
G0-9608,b4424,rdlC,putative antisense regulatory RNA RdlC,PARTIAL,#N/A,#N/A,#N/A,1
G0-16662,b4760,rirA,small regulatory RNA RirA,PARTIAL,#N/A,#N/A,#N/A,1
G0-8881,b4416,rybA,small RNA RybA,PARTIAL,#N/A,#N/A,#N/A,1
G0-8876,b4430,rydB,small regulatory RNA RydB,PARTIAL,#N/A,#N/A,#N/A,1
G0-8865,b4432,ryeA,small antisense RNA RyeA,PARTIAL,#N/A,#N/A,#N/A,1
G0-16635,,ryeG,small RNA RyeG,PARTIAL,#N/A,#N/A,#N/A,1
G0-8879,b4440,ryfA,small regulatory RNA RyfA,PARTIAL,#N/A,#N/A,#N/A,1
G0-10600,b4609,ryfD,small regulatory RNA RyfD,PARTIAL,#N/A,#N/A,#N/A,1
G0-8875,b4459,ryjA,small RNA RyjA,PARTIAL,#N/A,#N/A,#N/A,1
G0-10609,b4624,ryjB,small RNA RyjB,PARTIAL,#N/A,#N/A,#N/A,1
G0-10436,b4510,rzoD,DLP12 prophage; putative prophage lysis lipoprotein RzoD,PARTIAL,#N/A,#N/A,#N/A,1
G0-16675,b4689,rzoQ,Qin prophage; putative lipoprotein RzoQ,PARTIAL,#N/A,#N/A,#N/A,1
G0-10449,b4528,rzoR,Rac prophage; putative prophage outer membrane lipoprotein RzoR,PARTIAL,#N/A,#N/A,#N/A,1
G0-10634,b4687,shoB,toxic peptide ShoB,PARTIAL,#N/A,#N/A,#N/A,1
G0-8884,b4436,sibA,small RNA SibA,PARTIAL,#N/A,#N/A,#N/A,1
G0-8885,b4437,sibB,small RNA SibB,PARTIAL,#N/A,#N/A,#N/A,1
G0-8886,b4446,sibC,small regulatory RNA antitoxin SibC,PARTIAL,#N/A,#N/A,#N/A,1
G0-8913,b4447,sibD,small RNA SibD,PARTIAL,#N/A,#N/A,#N/A,1
G0-10602,b4611,sibE,small RNA SibE,PARTIAL,#N/A,#N/A,#N/A,1
G0-9611,b4429,sokB,putative small regulatory RNA antitoxin SokB,PARTIAL,#N/A,#N/A,#N/A,1
G0-9581,b4413,sokC,small regulatory RNA antitoxin SokC,PARTIAL,#N/A,#N/A,#N/A,1
