,gene_id,gene_name,gene_ontology
0,b1304,pspA,phage shock
1,b1304,pspA,response to heat
2,b1304,pspA,cytoplasmic side of plasma membrane
3,b1304,pspA,protein binding
4,b1304,pspA,protein binding
5,b1304,pspA,protein binding
6,b1304,pspA,protein binding
7,b1304,pspA,protein binding
8,b1304,pspA,protein binding
9,b1304,pspA,protein binding
10,b1304,pspA,phospholipid binding
11,b1304,pspA,identical protein binding
12,b1304,pspA,identical protein binding
13,b1304,pspA,identical protein binding
14,b1304,pspA,regulation of DNA-templated transcription
15,b1304,pspA,regulation of cellular response to stress
16,b1304,pspA,cytoplasm
17,b1304,pspA,cytoplasm
18,b1304,pspA,cytosol
19,b1304,pspA,plasma membrane
20,b1304,pspA,plasma membrane
21,b1304,pspA,cell pole
22,b1304,pspA,transcription regulator complex
23,b1304,pspA,cytosol
24,b1304,pspA,phage shock
25,b2679,proX,hyperosmotic response
26,b2679,proX,hyperosmotic response
27,b2679,proX,hyperosmotic response
28,b2679,proX,glycine betaine transport
29,b2679,proX,glycine betaine transport
30,b2679,proX,protein binding
31,b2679,proX,protein binding
32,b2679,proX,transmembrane transporter activity
33,b2679,proX,quaternary ammonium group binding
34,b2679,proX,quaternary ammonium group binding
35,b2679,proX,amino acid transport
36,b2679,proX,glycine betaine transport
37,b2679,proX,transmembrane transport
38,b2679,proX,cellular response to osmotic stress
39,b2679,proX,amino acid import across plasma membrane
40,b2679,proX,glycine import across plasma membrane
41,b2679,proX,outer membrane-bounded periplasmic space
42,b2679,proX,outer membrane-bounded periplasmic space
43,b2679,proX,periplasmic space
44,b2679,proX,periplasmic space
45,b2679,proX,membrane
46,b2679,proX,ATP-binding cassette (ABC) transporter complex
47,b2679,proX,ProVWX complex
48,b0397,sbcC,DNA replication
49,b0397,sbcC,DNA replication termination
50,b0397,sbcC,DNA repair
51,b0397,sbcC,single-stranded DNA endodeoxyribonuclease activity
52,b0397,sbcC,endonuclease activity
53,b0397,sbcC,exonuclease activity
54,b0397,sbcC,DNA exonuclease activity
55,b0397,sbcC,protein binding
56,b0397,sbcC,protein binding
57,b0397,sbcC,ATP binding
58,b0397,sbcC,3'-5'-DNA exonuclease activity
