,imodulon,annotation,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size,source,pathway_name,module_name
0,MalT,maltodextrin transmembrane transport,2.0498645915302335e-14,8.523336971582711e-11,0.5,1.0,0.6666666666666666,5.0,13.0,10.0,GO,,
1,MalT,maltose transport,4.2963764967148316e-13,8.932166736670135e-10,0.5,0.7142857142857143,0.588235294117647,5.0,14.0,10.0,GO,,
2,MalT,maltose transmembrane transport,1.469411268028589e-11,1.5274530131157184e-08,0.4,1.0,0.5714285714285715,4.0,4.0,10.0,GO,,
3,MalT,maltose transport complex,1.469411268028589e-11,1.5274530131157184e-08,0.4,1.0,0.5714285714285715,4.0,12.0,10.0,GO,,
4,MalT,ABC-type maltose transporter activity,9.030581821512844e-09,6.258193202308401e-06,0.3,1.0,0.4615384615384615,3.0,8.0,10.0,GO,,
5,MalT,alpha-glucan catabolic process,9.030581821512844e-09,6.258193202308401e-06,0.3,1.0,0.4615384615384615,3.0,5.0,10.0,GO,,
6,MalT,enzyme IIA-maltose transporter complex,3.6078244948010517e-08,1.6668149165980857e-05,0.3,0.75,0.4285714285714285,3.0,4.0,10.0,GO,,
7,MalT,negative regulation of maltose transport,3.6078244948010517e-08,1.6668149165980857e-05,0.3,0.75,0.4285714285714285,3.0,4.0,10.0,GO,,
8,MalT,negative regulation of transmembrane transport,3.6078244948010517e-08,1.6668149165980857e-05,0.3,0.75,0.4285714285714285,3.0,4.0,10.0,GO,,
9,MalT,carbohydrate transport,1.174933089555957e-05,0.004885371786373669,0.3,0.14285714285714285,0.19354838709677416,3.0,24.0,10.0,GO,,
10,MalT,glycogen catabolic process,2.9071744611243263e-05,0.010989119463049955,0.2,0.5,0.28571428571428575,2.0,9.0,10.0,GO,,
11,MalT,ATP-binding cassette (ABC) transporter complex,4.401716471112118e-05,0.01525194757240349,0.4,0.041666666666666664,0.07547169811320754,4.0,118.0,10.0,GO,,
12,MalT,carbohydrate transmembrane transporter activity,4.839285066572757e-05,0.015478267159084248,0.2,0.4,0.26666666666666666,2.0,6.0,10.0,GO,,
13,Crp,galactitol metabolic process,1.6380695713650487e-11,6.811093277735872e-08,0.15625,1.0,0.2702702702702703,5.0,6.0,32.0,GO,,
14,Crp,tricarboxylic acid cycle,8.676781771175925e-10,1.8039029302274748e-06,0.21875,0.2413793103448276,0.22950819672131145,7.0,87.0,32.0,GO,,
15,Crp,protein-N(PI)-phosphohistidine-mannose phosphotransferase system transporter activity,3.732640486225309e-07,0.0003880079785431209,0.09375,1.0,0.17142857142857143,3.0,3.0,32.0,GO,,
16,Crp,mannose transmembrane transport,3.732640486225309e-07,0.0003880079785431209,0.09375,1.0,0.17142857142857143,3.0,6.0,32.0,GO,,
17,Crp,D-glucose import across plasma membrane,1.4855076188903651e-06,0.0012353481358692276,0.09375,0.75,0.16666666666666666,3.0,5.0,32.0,GO,,
18,Crp,aerobic electron transport chain,2.3905778785034193e-06,0.0016566704698028696,0.125,0.2857142857142857,0.17391304347826086,4.0,34.0,32.0,GO,,
19,Crp,phosphoenolpyruvate-dependent sugar phosphotransferase system,3.175163613889895e-06,0.0018860471866505978,0.1875,0.10344827586206896,0.13333333333333333,6.0,207.0,32.0,GO,,
20,Crp,succinate dehydrogenase (quinone) activity,3.6949958924007987e-06,0.001920474115075315,0.09375,0.6,0.16216216216216214,3.0,7.0,32.0,GO,,
21,Crp,transmembrane transporter complex,1.1474139676356907e-05,0.005301052530476891,0.15625,0.11904761904761904,0.13513513513513511,5.0,64.0,32.0,GO,,
22,Crp,N-acetylglucosamine transport,2.037986161966112e-05,0.008473946461455092,0.09375,0.375,0.15,3.0,9.0,32.0,GO,,
23,Crp,aerobic respiration,2.8524912991944894e-05,0.010782417110955171,0.125,0.16,0.14035087719298245,4.0,47.0,32.0,GO,,
24,Crp,galactitol catabolic process,5.3538506707425e-05,0.01484087405929821,0.0625,1.0,0.11764705882352941,2.0,3.0,32.0,GO,,
25,Crp,oxoglutarate dehydrogenase complex,5.3538506707425e-05,0.01484087405929821,0.0625,1.0,0.11764705882352941,2.0,5.0,32.0,GO,,
26,Crp,protein-phosphocysteine-galactitol-phosphotransferase system transporter activity,5.3538506707425e-05,0.01484087405929821,0.0625,1.0,0.11764705882352941,2.0,2.0,32.0,GO,,
27,Crp,regulation of bacterial-type flagellum assembly,5.3538506707425e-05,0.01484087405929821,0.0625,1.0,0.11764705882352941,2.0,3.0,32.0,GO,,
28,Crp,fructose import across plasma membrane,5.9142473237460975e-05,0.01536965023258517,0.09375,0.2727272727272727,0.13953488372093023,3.0,16.0,32.0,GO,,
29,Crp,galactitol transmembrane transport,0.00015986899202502996,0.036929737157781924,0.0625,0.6666666666666666,0.11428571428571428,2.0,5.0,32.0,GO,,
30,Crp,positive regulation of bacterial-type flagellum assembly,0.00015986899202502996,0.036929737157781924,0.0625,0.6666666666666666,0.11428571428571428,2.0,3.0,32.0,GO,,
31,Crp,methylgalactoside transport,0.00031825247643116957,0.06616468985004015,0.0625,0.5,0.1111111111111111,2.0,4.0,32.0,GO,,
