,gene_id,database,kegg_id
9,b0002,KEGG_pathway,map00260
10,b0002,KEGG_pathway,map00261
11,b0002,KEGG_pathway,map00270
12,b0002,KEGG_pathway,map00300
13,b0002,KEGG_pathway,map01100
14,b0002,KEGG_pathway,map01110
15,b0002,KEGG_pathway,map01120
16,b0002,KEGG_pathway,map01130
17,b0002,KEGG_pathway,map01230
23,b0003,KEGG_pathway,map00260
24,b0003,KEGG_pathway,map01100
25,b0003,KEGG_pathway,map01110
26,b0003,KEGG_pathway,map01120
27,b0003,KEGG_pathway,map01230
34,b0004,KEGG_pathway,map00260
35,b0004,KEGG_pathway,map00750
36,b0004,KEGG_pathway,map01100
37,b0004,KEGG_pathway,map01110
38,b0004,KEGG_pathway,map01120
39,b0004,KEGG_pathway,map01230
40,b0005,KEGG_pathway,-
41,b0006,KEGG_pathway,-
42,b0007,KEGG_pathway,-
50,b0008,KEGG_pathway,map00030
51,b0008,KEGG_pathway,map01100
52,b0008,KEGG_pathway,map01110
53,b0008,KEGG_pathway,map01120
54,b0008,KEGG_pathway,map01130
55,b0008,KEGG_pathway,map01200
56,b0008,KEGG_pathway,map01230
60,b0009,KEGG_pathway,map00790
61,b0009,KEGG_pathway,map01100
62,b0009,KEGG_pathway,map04122
63,b0010,KEGG_pathway,-
64,b0011,KEGG_pathway,-
65,b0013,KEGG_pathway,-
69,b0014,KEGG_pathway,map03018
70,b0014,KEGG_pathway,map04212
71,b0014,KEGG_pathway,map05152
72,b0015,KEGG_pathway,-
73,b0016,KEGG_pathway,-
74,b0018,KEGG_pathway,-
75,b4412,KEGG_pathway,-
76,b0019,KEGG_pathway,-
77,b0020,KEGG_pathway,-
78,b0021,KEGG_pathway,-
79,b0022,KEGG_pathway,-
81,b0023,KEGG_pathway,map03010
82,b0024,KEGG_pathway,-
86,b0025,KEGG_pathway,map00740
87,b0025,KEGG_pathway,map01100
88,b0025,KEGG_pathway,map01110
90,b0026,KEGG_pathway,map00970
92,b0027,KEGG_pathway,map03060
93,b0028,KEGG_pathway,-
98,b0029,KEGG_pathway,map00900
99,b0029,KEGG_pathway,map01100
100,b0029,KEGG_pathway,map01110
101,b0029,KEGG_pathway,map01130
105,b0030,KEGG_pathway,map00230
106,b0030,KEGG_pathway,map00240
107,b0030,KEGG_pathway,map01100
115,b0031,KEGG_pathway,map00261
116,b0031,KEGG_pathway,map00300
117,b0031,KEGG_pathway,map01100
118,b0031,KEGG_pathway,map01110
119,b0031,KEGG_pathway,map01120
120,b0031,KEGG_pathway,map01130
121,b0031,KEGG_pathway,map01230
125,b0032,KEGG_pathway,map00240
126,b0032,KEGG_pathway,map00250
127,b0032,KEGG_pathway,map01100
131,b0033,KEGG_pathway,map00240
132,b0033,KEGG_pathway,map00250
133,b0033,KEGG_pathway,map01100
134,b0034,KEGG_pathway,-
135,b0035,KEGG_pathway,-
136,b0036,KEGG_pathway,-
137,b0037,KEGG_pathway,-
138,b0038,KEGG_pathway,-
152,b0039,KEGG_pathway,map00071
153,b0039,KEGG_pathway,map00280
154,b0039,KEGG_pathway,map00281
155,b0039,KEGG_pathway,map00362
156,b0039,KEGG_pathway,map00410
157,b0039,KEGG_pathway,map00640
158,b0039,KEGG_pathway,map01100
159,b0039,KEGG_pathway,map01110
160,b0039,KEGG_pathway,map01120
161,b0039,KEGG_pathway,map01130
162,b0039,KEGG_pathway,map01200
163,b0039,KEGG_pathway,map01212
164,b0039,KEGG_pathway,map03320
165,b0040,KEGG_pathway,-
166,b0041,KEGG_pathway,-
167,b0042,KEGG_pathway,-
168,b0043,KEGG_pathway,-
169,b0044,KEGG_pathway,-
170,b0045,KEGG_pathway,-
171,b0046,KEGG_pathway,-
172,b0047,KEGG_pathway,-
177,b0048,KEGG_pathway,map00670
178,b0048,KEGG_pathway,map00790
179,b0048,KEGG_pathway,map01100
180,b0048,KEGG_pathway,map01523
182,b0049,KEGG_pathway,map00230
183,b0050,KEGG_pathway,-
184,b0051,KEGG_pathway,-
187,b0052,KEGG_pathway,map00750
188,b0052,KEGG_pathway,map01100
189,b0053,KEGG_pathway,-
190,b0054,KEGG_pathway,-
191,b0055,KEGG_pathway,-
192,b0056,KEGG_pathway,-
193,b0058,KEGG_pathway,-
194,b0059,KEGG_pathway,-
195,b0060,KEGG_pathway,-
200,b0061,KEGG_pathway,map00040
201,b0061,KEGG_pathway,map00053
202,b0061,KEGG_pathway,map01100
203,b0061,KEGG_pathway,map01120
206,b0062,KEGG_pathway,map00040
207,b0062,KEGG_pathway,map01100
210,b0063,KEGG_pathway,map00040
211,b0063,KEGG_pathway,map01100
212,b0064,KEGG_pathway,-
213,b0065,KEGG_pathway,-
215,b0066,KEGG_pathway,map02010
217,b0067,KEGG_pathway,map02010
219,b0068,KEGG_pathway,map02010
220,b0069,KEGG_pathway,-
221,b4662,KEGG_pathway,-
222,b0070,KEGG_pathway,-
