2)regulatorName,3)RegulatorGeneName,5)regulatedName,6)function,7)confidenceLevel 
ppGpp,,hisM,-,W 
ppGpp,,agp,+,W 
ppGpp,,cysQ,+,W 
ppGpp,,argI,+,W 
ppGpp,,argS,-,W 
ppGpp,,argT,-,W 
ppGpp,,aroM,+,W 
ppGpp,,bolA,+,W 
ppGpp,,cadA,-,W 
ppGpp,,crp,-,W 
ppGpp,,cspA,-,W 
ppGpp,,dacC,+,W 
ppGpp,,dksA,-,W 
ppGpp,,dnaA,-,W 
ppGpp,,dnaN,-,W 
ppGpp,,fadL,+,W 
ppGpp,,fimB,+,W 
ppGpp,,fis,-,W 
ppGpp,,frr,-,W 
ppGpp,,ftsA,+,W 
ppGpp,,ftsQ,+,W 
ppGpp,,ftsZ,+,W 
ppGpp,,gabT,+,W 
ppGpp,,ggt,+,W 
ppGpp,,mnmG,-,W 
ppGpp,,rsmG,-,W 
ppGpp,,glgA,+,W 
ppGpp,,glgC,+,W 
ppGpp,,glgP,+,W 
ppGpp,,hisP,-,W 
ppGpp,,hmp,+,W 
ppGpp,,hns,-,W 
ppGpp,,ilvA,+,W 
ppGpp,,ilvB,+,W 
ppGpp,,ilvD,+,W 
ppGpp,,ilvE,+,W 
ppGpp,,ilvH,-,W 
ppGpp,,ilvI,-,W 
ppGpp,,ilvM,+,W 
ppGpp,,ilvN,+,W 
ppGpp,,infA,-,W 
ppGpp,,katE,+,W 
ppGpp,,rpoS,-,W 
ppGpp,,leuO,+,W 
ppGpp,,livJ,+,W 
ppGpp,,lrp,+,W 
ppGpp,,lysS,-,W 
ppGpp,,mazE,-+,W 
ppGpp,,mazG,-,W 
ppGpp,,osmB,+,W 
ppGpp,,osmC,+,W 
ppGpp,,pcnB,-,W 
ppGpp,,phr,+,W 
ppGpp,,pnp,-,W 
ppGpp,,poxB,+,W 
ppGpp,,prfB,-,W 
ppGpp,,priB,-,W 
ppGpp,,pth,-,W 
ppGpp,,pyrB,-,W 
ppGpp,,pyrI,-,W 
ppGpp,,queA,-,W 
ppGpp,,recF,-,W 
ppGpp,,relA,+,W 
ppGpp,,rnpA,-,W 
ppGpp,,rplI,-,W 
ppGpp,,rpmE,-,W 
ppGpp,,rpmH,-,W 
ppGpp,,rpsB,-,W 
ppGpp,,rpsF,-,W 
ppGpp,,rpsO,-,W 
ppGpp,,rpsR,-,W 
ppGpp,,speC,-,W 
ppGpp,,tgt,-,W 
ppGpp,,thrA,+,W 
ppGpp,,thrB,+,W 
ppGpp,,thrC,+,W 
ppGpp,,tpr,-,W 
ppGpp,,treA,+,W 
ppGpp,,trxA,+,W 
ppGpp,,tsf,-,W 
ppGpp,,tufB,-,W 
ppGpp,,yaiA,+,W 
ppGpp,,yajC,-,W 
ppGpp,,ybaA,+,W 
ppGpp,,ybgA,+,W 
ppGpp,,cspD,+,W 
ppGpp,,rluC,-,W 
ppGpp,,yhhA,+,W 
ppGpp,,mioC,-,W 
ppGpp,,argH,+,W 
ppGpp,,leuA,+,W 
ppGpp,,uspE,+,W 
ppGpp,,mazF,-+,W 
ppGpp,,iraP,+,W 
ppGpp,,ilvL,+,W 
ppGpp,,ivbL,+,W 
ppGpp,,thrL,+,W 
ppGpp,,pyrL,-,W 
ppGpp,,leuL,+,W 
ppGpp,,yghA,+,W 
ppGpp,,dusB,-,W 
ppGpp,,acnA,+,W 
ppGpp,,gabD,+,W 
ppGpp,,gabP,+,W 
ppGpp,,msyB,+,W 
ppGpp,,gluQ,-,W 
ppGpp,,folK,-,W 
ppGpp,,sufA,+,W 
ppGpp,,glgS,+,W 
ppGpp,,uspA,+,W 
ppGpp,,osmY,+,W 
ppGpp,,hdeA,+,W 
ppGpp,,hdeB,+,W 
ppGpp,,yhiD,+,W 
ppGpp,,ychF,-,W 
ppGpp,,dps,+,W 
ppGpp,,csrA,+,W 
ppGpp,,gadB,+,W 
ppGpp,,qorA,+,W 
ppGpp,,hdeD,+,W 
ppGpp,,sra,+,W 
ppGpp,,ycgB,+,W 
ppGpp,,fadD,+,W 
ppGpp,,cfa,+,W 
ppGpp,,ychH,+,W 
ppGpp,,wrbA,+,W 
ppGpp,,gadE,+,W 
ppGpp,,thiQ,+,W 
ppGpp,,thiP,+,W 
ppGpp,,thiB,+,W 
ppGpp,,leuD,+,W 
ppGpp,,leuC,+,W 
ppGpp,,leuB,+,W 
ppGpp,,otsA,+,W 
ppGpp,,otsB,+,W 
ppGpp,,setA,+,W 
ppGpp,,talA,+,W 
ppGpp,,yebF,+,W 
ppGpp,,aidB,+,W 
ppGpp,,yiiS,+,W 
ppGpp,,uspD,+,W 
ppGpp,,rpoE,+,W 
ppGpp,,yjbJ,+,? 
ppGpp,,yehE,+,W 
ppGpp,,yehW,+,W 
ppGpp,,yehX,+,W 
ppGpp,,yehY,+,W 
ppGpp,,osmF,+,W 
ppGpp,,yohC,+,W 
ppGpp,,yojI,+,W 
ppGpp,,sgrR,+,W 
ppGpp,,efp,-,W 
ppGpp,,tktB,+,W 
ppGpp,,prfC,-,W 
ppGpp,,rssB,+,W 
ppGpp,,hisJ,-,W 
ppGpp,,hisQ,-,W 
ppGpp,,narU,+,W 
ppGpp,,cbpA,+,W 
ppGpp,,cbpM,+,W 
ppGpp,,uspB,+,W 
ppGpp,,dtpB,+,W 
ppGpp,,mdtE,+,W 
ppGpp,,mdtF,+,W 
ppGpp,,gadX,+,W 
ppGpp,,treF,+,W 
ppGpp,,rseA,+,W 
ppGpp,,lhgD,+,W 
ppGpp,,yiaG,+,W 
ppGpp,,grxB,+,W 
ppGpp,,yccJ,+,W 
ppGpp,,ybeL,+,W 
ppGpp,,alaT,-,W 
