1)sigmaName,2)regulatedName,3)function,5)confidenceLevel 
sigma19,fecA,+,C 
sigma19,fecB,+,C 
sigma19,fecC,+,C 
sigma19,fecD,+,C 
sigma19,fecE,+,C 
sigma24,ahpF,+,S 
sigma24,apaG,+,W 
sigma24,apaH,+,W 
sigma24,asflhD,+,W 
sigma24,bacA,+,S 
sigma24,bamA,+,S 
sigma24,bamB,+,S 
sigma24,bamC,+,S 
sigma24,bamD,+,S 
sigma24,bamE,+,S 
sigma24,bepA,+,S 
sigma24,bhsA,+,W 
sigma24,cca,+,S 
sigma24,clpX,+,S 
sigma24,cyaR,+,C 
sigma24,degP,+,S 
sigma24,der,+,S 
sigma24,dnaE,+,S 
sigma24,dolP,+,S 
sigma24,dsbC,+,S 
sigma24,eptB,+,S 
sigma24,essD,+,S 
sigma24,fabZ,+,S 
sigma24,fadM,+,W 
sigma24,fkpA,+,S 
sigma24,ftnB,+,S 
sigma24,fusA,+,S 
sigma24,greA,+,S 
sigma24,gspA,+,S 
sigma24,gspB,+,S 
sigma24,hcp,+,S 
sigma24,hcr,+,S 
sigma24,hokE,+,W 
sigma24,hpf,+,S 
sigma24,ibaG,+,W 
sigma24,insK,+,W 
sigma24,lgoR,+,W 
sigma24,lhr,+,S 
sigma24,lon,+,S 
sigma24,lptA,+,S 
sigma24,lptB,+,S 
sigma24,lptD,+,S 
sigma24,lpxA,+,S 
sigma24,lpxB,+,S 
sigma24,lpxD,+,S 
sigma24,lpxP,+,S 
sigma24,lyxK,+,S 
sigma24,malQ,+,S 
sigma24,matA,+,W 
sigma24,micA,+,S 
sigma24,micL,+,S 
sigma24,mscM,+,S 
sigma24,mzrA,+,S 
sigma24,narV,+,S 
sigma24,narW,+,S 
sigma24,opgG,+,S 
sigma24,opgH,+,S 
sigma24,pdxA,+,W 
sigma24,phoQ,+,W 
sigma24,plsB,+,S 
sigma24,prfB,+,S 
sigma24,psd,+,S 
sigma24,ptsN,+,S 
sigma24,rapZ,+,S 
sigma24,rclA,+,W 
sigma24,rclB,+,W 
sigma24,rclC,+,W 
sigma24,recJ,+,S 
sigma24,recR,+,S 
sigma24,rfaD,+,S 
sigma24,rflP,+,W 
sigma24,rnhB,+,S 
sigma24,rnlB,+,S 
sigma24,rpoD,+,S 
sigma24,rpoE,+,S 
sigma24,rpoH,+,S 
sigma24,rpoN,+,S 
sigma24,rrrD,+,S 
sigma24,rseA,+,S 
sigma24,rseB,+,S 
sigma24,rseC,+,S 
sigma24,rseP,+,S 
sigma24,rsmA,+,W 
sigma24,rutR,+,S 
sigma24,rybB,+,S 
sigma24,rzpD,+,S 
sigma24,sbmA,+,S 
sigma24,sgbE,+,S 
sigma24,sgbH,+,S 
sigma24,sgbU,+,S 
sigma24,sixA,+,S 
sigma24,skp,+,S 
sigma24,stfZ,+,W 
sigma24,surA,+,W 
sigma24,tufA,+,S 
sigma24,uspD,+,S 
sigma24,waaC,+,S 
sigma24,waaF,+,S 
sigma24,waaL,+,S 
