regulator,gene_name,gene_id,effect,evidence,source
Lrp,alaE,b2670,-+,2,RegulonDB_TF
MqsA,mqsR,b3022,-,2,RegulonDB_TF
NarP,nirB,b3365,+,2,RegulonDB_TF
ArcA,nuoK,b2279,-,2,RegulonDB_TF
NarP,cysG,b3368,+,2,RegulonDB_TF
NhaR,pgaA,b1024,+,2,RegulonDB_TF
NhaR,pgaB,b1023,+,2,RegulonDB_TF
NhaR,pgaC,b1022,+,2,RegulonDB_TF
NhaR,pgaD,b1021,+,2,RegulonDB_TF
ArcA,nuoL,b2278,-,2,RegulonDB_TF
Fnr,purN,b2500,-,2,RegulonDB_TF
Lrp,ridA,b4243,-+,2,RegulonDB_TF
Fnr,purM,b2499,-,2,RegulonDB_TF
IHF,fimB,b4312,+,2,RegulonDB_TF
RpoS,hmp,b2552,+,2,RegulonDB_sigma
CynR,cynS,b0340,+,2,RegulonDB_TF
ArcA,nuoN,b2276,-,2,RegulonDB_TF
CynR,cynX,b0341,+,2,RegulonDB_TF
IHF,envZ,b3404,-,2,RegulonDB_TF
MqsA,rpoS,b2741,-,2,RegulonDB_TF
Fnr,poxB,b0871,+,2,RegulonDB_TF
Fnr,pflB,b0903,+,2,RegulonDB_TF
Fnr,nirD,b3366,+,2,RegulonDB_TF
NarP,nirC,b3367,+,2,RegulonDB_TF
NarP,nirD,b3366,+,2,RegulonDB_TF
ArcA,nuoJ,b2280,-,2,RegulonDB_TF
NarP,nrfG,b4076,+,2,RegulonDB_TF
DinJ-YafQ,dinJ,b0226,-,2,RegulonDB_TF
ArcA,nuoA,b2288,-,2,RegulonDB_TF
RpoS,lpd,b0116,+,2,RegulonDB_sigma
ArcA,nuoB,b2287,-,2,RegulonDB_TF
Hfq,manX,b1817,-,2,RegulonDB_TF
ArcA,nuoC,b2286,-,2,RegulonDB_TF
DinJ-YafQ,yafQ,b0225,-,2,RegulonDB_TF
DinJ-YafQ,cspE,b0623,-,2,RegulonDB_TF
ArcA,nuoE,b2285,-,2,RegulonDB_TF
NarP,nrfF,b4075,+,2,RegulonDB_TF
ArcA,nuoI,b2281,-,2,RegulonDB_TF
NarP,nrfE,b4074,+,2,RegulonDB_TF
NarP,nrfD,b4073,+,2,RegulonDB_TF
NarP,nrfC,b4072,+,2,RegulonDB_TF
NarP,nrfB,b4071,+,2,RegulonDB_TF
IHF,fnr,b1334,+,2,RegulonDB_TF
NarP,nrfA,b4070,+,2,RegulonDB_TF
IHF,fis,b3261,+,2,RegulonDB_TF
ArcA,nuoG,b2283,-,2,RegulonDB_TF
ArcA,nuoH,b2282,-,2,RegulonDB_TF
MqsA,mqsA,b3021,-,2,RegulonDB_TF
Fnr,nirC,b3367,+,2,RegulonDB_TF
GcvA,gcvP,b2903,-+,2,RegulonDB_TF
Fnr,nirB,b3365,+,2,RegulonDB_TF
IHF,carB,b0033,-+,2,RegulonDB_TF
IHF,carA,b0032,-+,2,RegulonDB_TF
NrdR,yfaE,b2236,-,2,RegulonDB_TF
ArcA,glcF,b4467,-,2,RegulonDB_TF
