,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon,regulator,in_iM,y_ome
b0001,thrL,U00096.3,,190,255,+,thr operon leader peptide,No COG annotation,P0AD86,Op0,"RpoD,DksA,Lrp,ppGpp",True,False
b0002,thrA,U00096.3,,337,2799,+,fused aspartate kinase/homoserine dehydrogenase 1,Amino acid transport and metabolism,P00561,Op1,"RpoD,Ile-tRNA,Thr-tRNA,DksA,Fnr,ArcA,ppGpp",True,False
b0003,thrB,U00096.3,,2801,3733,+,homoserine kinase,Nucleotide transport and metabolism,P00547,Op2,"RpoD,Ile-tRNA,Thr-tRNA,DksA,ppGpp",True,False
b0004,thrC,U00096.3,,3734,5020,+,threonine synthase,Amino acid transport and metabolism,P00934,Op3,"RpoD,ppGpp,Ile-tRNA,Thr-tRNA,DksA",True,False
b0005,yaaX,U00096.3,,5234,5530,+,DUF2502 domain-containing protein YaaX,Function unknown,P75616,Op4,Lrp,True,True
b0006,yaaA,U00096.3,,5683,6459,-,DNA binding and peroxide stress response protein YaaA,Function unknown,P0A8I3,Op5,,False,True
b0007,yaaJ,U00096.3,,6529,7959,-,putative transporter YaaJ,Amino acid transport and metabolism,P30143,Op6,,False,True
b0008,talB,U00096.3,,8238,9191,+,transaldolase B,Carbohydrate transport and metabolism,P0A870,Op7,,False,False
b0009,mog,U00096.3,,9306,9893,+,molybdopterin adenylyltransferase,Nucleotide transport and metabolism,P0AF03,Op8,,False,False
b0010,satP,U00096.3,,9928,10494,-,acetate/succinate:H(+) symporter,Function unknown,P0AC98,Op9,ppGpp,False,False
b0011,yaaW,U00096.3,,10643,11356,-,putative enzyme-specific chaperone YaaW,Function unknown,P75617,Op10,,False,True
b0012,mbiA,U00096.3,,10830,11315,+,uncharacterized protein MbiA,No COG annotation,P28697,Op11,RpoH,False,True
b0013,yaaI,U00096.3,,11382,11786,-,DUF2541 domain-containing protein YaaI,Function unknown,P28696,Op12,,False,True
b0014,dnaK,U00096.3,,12163,14079,+,chaperone protein DnaK,"Post-translational modification, protein turnover, and chaperones",P0A6Y8,Op13,"YbiH,RpoH,gcvB",True,False
b0015,dnaJ,U00096.3,,14168,15298,+,chaperone protein DnaJ,"Post-translational modification, protein turnover, and chaperones",P08622,Op14,"RpoH,ppGpp",True,False
b0016,insL1,U00096.3,,15445,16557,+,IS186/IS421 family transposase,"Replication, recombination and repair",P0CF91,Op15,ppGpp,False,False
b0018,mokC,U00096.3,,16751,16960,-,regulatory protein MokC,Function unknown,P33236,Op16,sokC,False,True
b4412,hokC,U00096.3,,16751,16903,-,protein HokC,Function unknown,P0ACG4,Op17,ppGpp,False,False
b0019,nhaA,U00096.3,,17489,18655,+,Na(+):H(+) antiporter NhaA,Inorganic ion transport and metabolism,P13738,Op18,"RpoD,YdcI,RpoS,H-NS,ppGpp,NhaR",False,False
b0020,nhaR,U00096.3,,18715,19620,+,DNA-binding transcriptional activator NhaR,Transcription,P0A9G2,Op19,"RpoD,RpoS,H-NS,NhaR,CsrA,YdeO",False,False
b0021,insB1,U00096.3,,19811,20314,-,IS1 family protein InsB,"Replication, recombination and repair",P0CF25,Op20,,False,False
b0022,insA1,U00096.3,,20233,20508,-,IS1 family protein InsA,"Replication, recombination and repair",P0CF07,Op21,ppGpp,False,False
b0023,rpsT,U00096.3,,20815,21078,-,30S ribosomal subunit protein S20,"Translation, ribosomal structure and biogenesis",P0A7U7,Op22,"ppGpp,DksA",True,False
b0024,yaaY,U00096.3,,21181,21399,+,DUF2575 domain-containing protein YaaY,Function unknown,P75620,Op23,,False,True
b0025,ribF,U00096.3,,21407,22348,+,bifunctional riboflavin kinase/FMN adenylyltransferase,Coenzyme transport and metabolism,P0AG40,Op24,RpoD,False,False
b0026,ileS,U00096.3,,22391,25207,+,isoleucine--tRNA ligase,"Translation, ribosomal structure and biogenesis",P00956,Op25,"RpoD,RpoH",False,False
b0027,lspA,U00096.3,,25207,25701,+,lipoprotein signal peptidase,Cell wall/membrane/envelope biogenesis,P00804,Op26,"RpoD,RpoH",False,False
b0028,fkpB,U00096.3,,25826,26275,+,peptidyl-prolyl cis-trans isomerase FkpB,"Post-translational modification, protein turnover, and chaperones",P0AEM0,Op27,"RpoD,RpoH",False,False
b0029,ispH,U00096.3,,26277,27227,+,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,Lipid transport and metabolism,P62623,Op28,"RpoD,RpoH",False,False
b0030,rihC,U00096.3,,27293,28207,+,ribonucleoside hydrolase RihC,Nucleotide transport and metabolism,P22564,Op29,,False,False
b0031,dapB,U00096.3,,28374,29195,+,4-hydroxy-tetrahydrodipicolinate reductase,Amino acid transport and metabolism,P04036,Op30,"RpoD,ArgP,Nac",True,False
b0032,carA,U00096.3,,29651,30799,+,carbamoyl-phosphate synthetase small subunit,Nucleotide transport and metabolism,P0A6F1,Op31,"RpoD,Fis,ArgR,PurR,PepA,RutR,IHF,ArcA",True,False
b0033,carB,U00096.3,,30817,34038,+,carbamoyl-phosphate synthetase large subunit,Nucleotide transport and metabolism,P00968,Op32,"RpoD,Fis,ArgR,PurR,PepA,RutR,IHF",True,False
b0034,caiF,U00096.3,,34300,34695,+,DNA-binding transcriptional activator CaiF,Transcription,P0AE58,Op33,"RpoD,YdcN,H-NS,Fnr,Crp,NarL,Nac",True,False
b0035,caiE,U00096.3,,34781,35371,-,putative transferase CaiE,Function unknown,P39206,Op34,"RpoD,H-NS,Fnr,ArcA,Crp,CaiF",False,True
b0036,caiD,U00096.3,,35377,36162,-,crotonobetainyl-CoA hydratase,Lipid transport and metabolism,P31551,Op35,"RpoD,H-NS,Fnr,Crp,ArcA,CaiF",False,False
b0037,caiC,U00096.3,,36271,37824,-,carnitine--CoA ligase,Lipid transport and metabolism,P31552,Op36,"RpoD,YbiH,H-NS,Fnr,Crp,ArcA,CaiF",False,False
b0038,caiB,U00096.3,,37898,39115,-,gamma-butyrobetainyl-CoA:carnitine CoA transferase,Energy production and conversion,P31572,Op37,"RpoD,H-NS,Fnr,Crp,ArcA,CaiF",False,False
b0039,caiA,U00096.3,,39244,40386,-,crotonobetainyl-CoA reductase,Lipid transport and metabolism,P60584,Op38,"RpoD,YfeC,H-NS,Fnr,Crp,ArcA,CaiF,spf",False,False
b0040,caiT,U00096.3,,40417,41931,-,L-carnitine:gamma-butyrobetaine antiporter,Cell wall/membrane/envelope biogenesis,P31553,Op39,"RpoD,H-NS,Fnr,Crp,ArcA,CaiF",False,False
b0041,fixA,U00096.3,,42403,43173,+,putative electron transfer flavoprotein FixA,Energy production and conversion,P60566,Op40,"RpoD,Fnr,Crp,CaiF",False,True
b0042,fixB,U00096.3,,43188,44129,+,putative electron transfer flavoprotein FixB,Energy production and conversion,P31574,Op41,"RpoD,YbaQ,Fnr,Crp,CaiF",True,True
b0043,fixC,U00096.3,,44180,45466,+,putative oxidoreductase FixC,Energy production and conversion,P68644,Op42,"RpoD,Fnr,Crp,CaiF",False,True
b0044,fixX,U00096.3,,45463,45750,+,putative ferredoxin FixX,Energy production and conversion,P68646,Op43,"RpoD,Fnr,Crp,CaiF",False,True
b0045,yaaU,U00096.3,,45807,47138,+,putative transporter YaaU,Inorganic ion transport and metabolism,P31679,Op44,"RpoN,ArgR",False,True
b0046,kefF,U00096.3,,47246,47776,+,regulator of KefC-mediated potassium transport and quinone oxidoreductase,Energy production and conversion,P0A754,Op45,,False,False
b0047,kefC,U00096.3,,47769,49631,+,K(+) : H(+) antiporter KefC,Inorganic ion transport and metabolism,P03819,Op46,YfeD,False,False
b0048,folA,U00096.3,,49823,50302,+,dihydrofolate reductase,Coenzyme transport and metabolism,P0ABQ4,Op47,"RpoD,IHF,TyrR,ppGpp",False,False
b0049,apaH,U00096.3,,50380,51222,-,diadenosine tetraphosphatase,Signal transduction mechanisms,P05637,Op48,"RpoE,Fis",False,False
b0050,apaG,U00096.3,,51229,51606,-,DUF525 domain-containing protein ApaG,Inorganic ion transport and metabolism,P62672,Op49,"RpoE,Fis",False,True
b0051,rsmA,U00096.3,,51609,52430,-,16S rRNA m(6)2A1518%2Cm(6)2A1519 dimethyltransferase,"Translation, ribosomal structure and biogenesis",P06992,Op50,"RpoE,Fis",False,False
b0052,pdxA,U00096.3,,52427,53416,-,4-hydroxythreonine-4-phosphate dehydrogenase,Coenzyme transport and metabolism,P19624,Op51,"RpoE,Fis,GlaR",False,False
b0053,surA,U00096.3,,53416,54702,-,chaperone SurA,"Post-translational modification, protein turnover, and chaperones",P0ABZ6,Op52,RpoE,False,False
b0054,lptD,U00096.3,,54755,57109,-,lipopolysaccharide assembly protein LptD,Cell wall/membrane/envelope biogenesis,P31554,Op53,"RpoD,YcjW,RpoE",False,False
b0055,djlA,U00096.3,,57364,58179,+,co-chaperone protein DjlA,"Post-translational modification, protein turnover, and chaperones",P31680,Op54,,False,False
b0056,yabP,U00096.3,,58474,59124,+,putative uncharacterized protein YabP,Function unknown,P39220,Op55,,False,True
b0057,yabQ,U00096.3,,59121,59279,+,protein YabQ,No COG annotation,P39221,Op56,Lrp,True,True
b0058,rluA,U00096.3,,59687,60346,-,23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase,"Translation, ribosomal structure and biogenesis",P0AA37,Op57,"RpoD,ppGpp",False,False
b0059,rapA,U00096.3,,60358,63264,-,RNA polymerase-binding ATPase and RNAP recycling factor,Transcription,P60240,Op58,"RpoD,RpoH,ppGpp",False,False
b0060,polB,U00096.3,,63429,65780,-,DNA polymerase II,"Replication, recombination and repair",P21189,Op59,"RpoD,LexA",True,False
b0061,araD,U00096.3,,65855,66550,-,L-ribulose-5-phosphate 4-epimerase AraD,Carbohydrate transport and metabolism,P08203,Op60,"RpoD,AraC,Crp",True,False
b0062,araA,U00096.3,,66835,68337,-,L-arabinose isomerase,Carbohydrate transport and metabolism,P08202,Op61,"RpoD,AraC,Crp",True,False
b0063,araB,U00096.3,,68348,70048,-,ribulokinase,Nucleotide transport and metabolism,P08204,Op62,"RpoD,AraC,Crp",True,False
b0064,araC,U00096.3,,70387,71265,+,DNA-binding transcriptional dual regulator AraC,Transcription,P0A9E0,Op63,"RpoD,AraC,XylR,Crp",False,False
b0065,yabI,U00096.3,,71351,72115,+,DedA family protein YabI,Function unknown,P30149,Op64,"YeiE,RpoS,ppGpp",False,True
b0066,thiQ,U00096.3,,72229,72927,-,thiamine ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P31548,Op65,"RpoD,ppGpp,SgrR,DksA",False,False
b0067,thiP,U00096.3,,72911,74521,-,thiamine ABC transporter membrane subunit,Inorganic ion transport and metabolism,P31549,Op66,"RpoD,YcjW,ppGpp,SgrR,DksA",False,False
b0068,thiB,U00096.3,,74497,75480,-,thiamine ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,P31550,Op67,"RpoD,SgrR,ppGpp,DksA",True,False
b0069,sgrR,U00096.3,,75644,77299,-,DNA-binding transcriptional dual regulator SgrR,Transcription,P33595,Op68,"RpoD,SgrR,ppGpp,DksA",False,False
b4662,sgrT,U00096.3,,77388,77519,+,PtsG glucose transporter inhibitor,Energy production and conversion,C1P5Z7,Op69,"RpoD,RpoS,Cra,SgrR,ppGpp,DksA",True,True
b0070,setA,U00096.3,,77621,78799,+,sugar exporter SetA,Inorganic ion transport and metabolism,P31675,Op70,"RpoD,RpoS,Cra,SgrR,ppGpp,DksA",False,False
b0071,leuD,U00096.3,,78848,79453,-,3-isopropylmalate dehydratase subunit LeuD,Amino acid transport and metabolism,P30126,Op71,"RpoD,LeuO,Leu-tRNA,ppGpp",True,False
b0072,leuC,U00096.3,,79464,80864,-,3-isopropylmalate dehydratase subunit LeuC,Amino acid transport and metabolism,P0A6A6,Op72,"RpoD,YeiE,LeuO,Leu-tRNA,ppGpp",True,False
b0073,leuB,U00096.3,,80867,81958,-,3-isopropylmalate dehydrogenase,Energy production and conversion,P30125,Op73,"RpoD,LeuO,Leu-tRNA,ppGpp",True,False
b0074,leuA,U00096.3,,81958,83529,-,2-isopropylmalate synthase,Amino acid transport and metabolism,P09151,Op74,"RpoD,LeuO,Leu-tRNA,Lrp,ppGpp",True,False
b0075,leuL,U00096.3,,83622,83708,-,leu operon leader peptide,No COG annotation,P0AD79,Op75,"RpoD,LeuO,Lrp,Nac,ppGpp",True,False
b0076,leuO,U00096.3,,84368,85312,+,DNA-binding transcriptional dual regulator LeuO,Transcription,P10151,Op76,"RpoD,StpA,LeuO,LrhA,RcsB-BglJ,SlyA,H-NS,Lrp,Nac,ppGpp",True,False
b4726,yabR,U00096.3,,85467,85511,-,protein YabR,No COG annotation,P0DPM5,Op77,,False,False
b0077,ilvI,U00096.3,,85630,87354,+,acetolactate synthase/acetohydroxybutanoate synthase%2C catalytic subunit,Coenzyme transport and metabolism,P00893,Op78,"RpoD,YeiE,dsrA,H-NS,ppGpp,Lrp",False,False
b0078,ilvH,U00096.3,,87357,87848,+,acetolactate synthase/acetohydroxybutanoate synthase%2C regulatory subunit,Amino acid transport and metabolism,P00894,Op79,"RpoD,H-NS,ppGpp,Lrp",False,False
b0080,cra,U00096.3,,88028,89032,+,DNA-binding transcriptional dual regulator Cra,Transcription,P0ACP1,Op80,"PhoB,RpoH",False,False
b0081,mraZ,U00096.3,,89634,90092,+,DNA-binding transcriptional repressor MraZ,Transcription,P22186,Op81,"RpoD,YdcN,YqhC,MraZ,PdhR",False,False
b0082,rsmH,U00096.3,,90094,91035,+,16S rRNA m(4)C1402 methyltransferase,"Translation, ribosomal structure and biogenesis",P60390,Op82,"RpoD,MraZ,PdhR",False,False
b0083,ftsL,U00096.3,,91032,91397,+,cell division protein FtsL,"Cell cycle control, cell division, chromosome partitioning",P0AEN4,Op83,"RpoD,LexA,MraZ,PdhR",False,False
b0084,ftsI,U00096.3,,91413,93179,+,peptidoglycan DD-transpeptidase FtsI,Cell wall/membrane/envelope biogenesis,P0AD68,Op84,"RpoD,YbaQ,LexA,MraZ,PdhR",True,False
