locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
b0001,thrL,U00096.3,,190,255,+,thr operon leader peptide,No COG annotation,P0AD86,Op0
b0002,thrA,U00096.3,,337,2799,+,fused aspartate kinase/homoserine dehydrogenase 1,Amino acid transport and metabolism,P00561,Op1
b0003,thrB,U00096.3,,2801,3733,+,homoserine kinase,Nucleotide transport and metabolism,P00547,Op2
b0004,thrC,U00096.3,,3734,5020,+,threonine synthase,Amino acid transport and metabolism,P00934,Op3
b0005,yaaX,U00096.3,,5234,5530,+,DUF2502 domain-containing protein YaaX,Function unknown,P75616,Op4
b0006,yaaA,U00096.3,,5683,6459,-,DNA binding and peroxide stress response protein YaaA,Function unknown,P0A8I3,Op5
b0007,yaaJ,U00096.3,,6529,7959,-,putative transporter YaaJ,Amino acid transport and metabolism,P30143,Op6
b0008,talB,U00096.3,,8238,9191,+,transaldolase B,Carbohydrate transport and metabolism,P0A870,Op7
b0009,mog,U00096.3,,9306,9893,+,molybdopterin adenylyltransferase,Nucleotide transport and metabolism,P0AF03,Op8
b0010,satP,U00096.3,,9928,10494,-,acetate/succinate:H(+) symporter,Function unknown,P0AC98,Op9
b0011,yaaW,U00096.3,,10643,11356,-,putative enzyme-specific chaperone YaaW,Function unknown,P75617,Op10
b0012,mbiA,U00096.3,,10830,11315,+,uncharacterized protein MbiA,No COG annotation,P28697,Op11
b0013,yaaI,U00096.3,,11382,11786,-,DUF2541 domain-containing protein YaaI,Function unknown,P28696,Op12
b0014,dnaK,U00096.3,,12163,14079,+,chaperone protein DnaK,"Post-translational modification, protein turnover, and chaperones",P0A6Y8,Op13
b0015,dnaJ,U00096.3,,14168,15298,+,chaperone protein DnaJ,"Post-translational modification, protein turnover, and chaperones",P08622,Op14
b0016,insL1,U00096.3,,15445,16557,+,IS186/IS421 family transposase,"Replication, recombination and repair",P0CF91,Op15
b0018,mokC,U00096.3,,16751,16960,-,regulatory protein MokC,Function unknown,P33236,Op16
b4412,hokC,U00096.3,,16751,16903,-,protein HokC,Function unknown,P0ACG4,Op17
b0019,nhaA,U00096.3,,17489,18655,+,Na(+):H(+) antiporter NhaA,Inorganic ion transport and metabolism,P13738,Op18
b0020,nhaR,U00096.3,,18715,19620,+,DNA-binding transcriptional activator NhaR,Transcription,P0A9G2,Op19
b0021,insB1,U00096.3,,19811,20314,-,IS1 family protein InsB,"Replication, recombination and repair",P0CF25,Op20
b0022,insA1,U00096.3,,20233,20508,-,IS1 family protein InsA,"Replication, recombination and repair",P0CF07,Op21
b0023,rpsT,U00096.3,,20815,21078,-,30S ribosomal subunit protein S20,"Translation, ribosomal structure and biogenesis",P0A7U7,Op22
b0024,yaaY,U00096.3,,21181,21399,+,DUF2575 domain-containing protein YaaY,Function unknown,P75620,Op23
b0025,ribF,U00096.3,,21407,22348,+,bifunctional riboflavin kinase/FMN adenylyltransferase,Coenzyme transport and metabolism,P0AG40,Op24
b0026,ileS,U00096.3,,22391,25207,+,isoleucine--tRNA ligase,"Translation, ribosomal structure and biogenesis",P00956,Op25
b0027,lspA,U00096.3,,25207,25701,+,lipoprotein signal peptidase,Cell wall/membrane/envelope biogenesis,P00804,Op26
b0028,fkpB,U00096.3,,25826,26275,+,peptidyl-prolyl cis-trans isomerase FkpB,"Post-translational modification, protein turnover, and chaperones",P0AEM0,Op27
b0029,ispH,U00096.3,,26277,27227,+,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,Lipid transport and metabolism,P62623,Op28
b0030,rihC,U00096.3,,27293,28207,+,ribonucleoside hydrolase RihC,Nucleotide transport and metabolism,P22564,Op29
b0031,dapB,U00096.3,,28374,29195,+,4-hydroxy-tetrahydrodipicolinate reductase,Amino acid transport and metabolism,P04036,Op30
b0032,carA,U00096.3,,29651,30799,+,carbamoyl-phosphate synthetase small subunit,Nucleotide transport and metabolism,P0A6F1,Op31
b0033,carB,U00096.3,,30817,34038,+,carbamoyl-phosphate synthetase large subunit,Nucleotide transport and metabolism,P00968,Op32
b0034,caiF,U00096.3,,34300,34695,+,DNA-binding transcriptional activator CaiF,Transcription,P0AE58,Op33
b0035,caiE,U00096.3,,34781,35371,-,putative transferase CaiE,Function unknown,P39206,Op34
b0036,caiD,U00096.3,,35377,36162,-,crotonobetainyl-CoA hydratase,Lipid transport and metabolism,P31551,Op35
b0037,caiC,U00096.3,,36271,37824,-,carnitine--CoA ligase,Lipid transport and metabolism,P31552,Op36
b0038,caiB,U00096.3,,37898,39115,-,gamma-butyrobetainyl-CoA:carnitine CoA transferase,Energy production and conversion,P31572,Op37
b0039,caiA,U00096.3,,39244,40386,-,crotonobetainyl-CoA reductase,Lipid transport and metabolism,P60584,Op38
b0040,caiT,U00096.3,,40417,41931,-,L-carnitine:gamma-butyrobetaine antiporter,Cell wall/membrane/envelope biogenesis,P31553,Op39
b0041,fixA,U00096.3,,42403,43173,+,putative electron transfer flavoprotein FixA,Energy production and conversion,P60566,Op40
b0042,fixB,U00096.3,,43188,44129,+,putative electron transfer flavoprotein FixB,Energy production and conversion,P31574,Op41
b0043,fixC,U00096.3,,44180,45466,+,putative oxidoreductase FixC,Energy production and conversion,P68644,Op42
b0044,fixX,U00096.3,,45463,45750,+,putative ferredoxin FixX,Energy production and conversion,P68646,Op43
b0045,yaaU,U00096.3,,45807,47138,+,putative transporter YaaU,Inorganic ion transport and metabolism,P31679,Op44
b0046,kefF,U00096.3,,47246,47776,+,regulator of KefC-mediated potassium transport and quinone oxidoreductase,Energy production and conversion,P0A754,Op45
b0047,kefC,U00096.3,,47769,49631,+,K(+) : H(+) antiporter KefC,Inorganic ion transport and metabolism,P03819,Op46
b0048,folA,U00096.3,,49823,50302,+,dihydrofolate reductase,Coenzyme transport and metabolism,P0ABQ4,Op47
b0049,apaH,U00096.3,,50380,51222,-,diadenosine tetraphosphatase,Signal transduction mechanisms,P05637,Op48
b0050,apaG,U00096.3,,51229,51606,-,DUF525 domain-containing protein ApaG,Inorganic ion transport and metabolism,P62672,Op49
b0051,rsmA,U00096.3,,51609,52430,-,16S rRNA m(6)2A1518%2Cm(6)2A1519 dimethyltransferase,"Translation, ribosomal structure and biogenesis",P06992,Op50
b0052,pdxA,U00096.3,,52427,53416,-,4-hydroxythreonine-4-phosphate dehydrogenase,Coenzyme transport and metabolism,P19624,Op51
