gene,allele,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,bnum
Ecoli_C6658,Ecoli_C6658A599,199310.c1733,0.0,1161.0,"COG4907@1|root,COG4907@2|Bacteria,1MXPY@1224|Proteobacteria,1RQUG@1236|Gammaproteobacteria,3XQ96@561|Escherichia",2|Bacteria,S,Predicted membrane protein (DUF2207),yciQ,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",-,-,-,-,-,-,-,-,-,-,DUF2207,
Ecoli_C38357,Ecoli_C38357A388,155864.EDL933_3330,2.2399999999999998e-225,623.0,"COG0524@1|root,COG0524@2|Bacteria,1MXSY@1224|Proteobacteria,1RQKG@1236|Gammaproteobacteria,3XQEA@561|Escherichia",2|Bacteria,G,pseudouridine kinase activity,psuK,"GO:0003674,GO:0003824,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0044237,GO:0050225","2.7.1.15,2.7.1.45,2.7.1.83","ko:K00852,ko:K00874,ko:K16328","ko00030,ko00240,ko01100,ko01120,ko01200,map00030,map00240,map01100,map01120,map01200","M00061,M00308,M00631","R01051,R01541,R02750,R03315","RC00002,RC00017","ko00000,ko00001,ko00002,ko01000",-,-,-,"HTH_24,PfkB",b2166
Ecoli_C120849,,,,,,,,,,,,,,,,,,,,,,b1457
Ecoli_C52067,Ecoli_C52067A449,502347.ESCAB7627_1230,0.000488,49.3,"2AUGI@1|root,31K4S@2|Bacteria,1QIB6@1224|Proteobacteria,1TG5E@1236|Gammaproteobacteria,3XNYS@561|Escherichia",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Ecoli_C15388,Ecoli_C15388A86,155864.EDL933_0918,1.0999999999999999e-296,817.0,"COG0513@1|root,COG0513@2|Bacteria,1MU49@1224|Proteobacteria,1RMWA@1236|Gammaproteobacteria,3XPAR@561|Escherichia",2|Bacteria,F,DEAD-box RNA helicase involved in ribosome assembly. Has RNA-dependent ATPase activity and unwinds double-stranded RNA,rhlE,"GO:0003674,GO:0003724,GO:0003824,GO:0004004,GO:0004386,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006725,GO:0006807,GO:0006950,GO:0006996,GO:0008026,GO:0008104,GO:0008150,GO:0008152,GO:0008186,GO:0009266,GO:0009408,GO:0009628,GO:0009987,GO:0010501,GO:0016043,GO:0016070,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022607,GO:0022613,GO:0022618,GO:0032991,GO:0033036,GO:0034622,GO:0034641,GO:0035770,GO:0036464,GO:0042254,GO:0042255,GO:0042623,GO:0043170,GO:0043186,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0045495,GO:0046483,GO:0050896,GO:0051179,GO:0060293,GO:0065003,GO:0070035,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0090304,GO:0140098,GO:1901360,GO:1990904",3.6.4.13,ko:K11927,"ko03018,map03018",-,-,-,"ko00000,ko00001,ko01000,ko03019",-,-,-,"DEAD,Helicase_C",b0797
Ecoli_C8860,Ecoli_C8860A325,362663.ECP_1591,0.0,1281.0,"COG1289@1|root,COG1289@2|Bacteria,1MX9H@1224|Proteobacteria,1RMJ4@1236|Gammaproteobacteria,3XNU5@561|Escherichia",2|Bacteria,S,transmembrane transporter activity,ydhK,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",-,ko:K03468,-,-,-,-,"ko00000,ko02000",2.A.85.1.2,-,-,FUSC,b1645
Ecoli_C236257,,,,,,,,,,,,,,,,,,,,,,
Ecoli_C16501,Ecoli_C16501A475,481805.EcolC_3076,0.0,921.0,"COG5002@1|root,COG5002@2|Bacteria,1QTV1@1224|Proteobacteria,1T1I6@1236|Gammaproteobacteria,3XPE1@561|Escherichia",2|Bacteria,T,Member of the two-component regulatory system CusS CusR. Copper ion sensor. Could also be a silver ion sensor. Activates CusR by phosphorylation,cusS,"GO:0000155,GO:0000160,GO:0003674,GO:0003824,GO:0004672,GO:0004673,GO:0005575,GO:0005623,GO:0005886,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0009987,GO:0010035,GO:0010038,GO:0010272,GO:0016020,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0016775,GO:0018106,GO:0018193,GO:0018202,GO:0019538,GO:0023014,GO:0023052,GO:0035556,GO:0036211,GO:0042221,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044464,GO:0046688,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,GO:0070887,GO:0071241,GO:0071248,GO:0071280,GO:0071292,GO:0071704,GO:0071944,GO:0140096,GO:1901564",2.7.13.3,"ko:K07636,ko:K07642,ko:K07644","ko02020,map02020","M00434,M00450,M00452,M00645,M00646,M00648,M00745",-,-,"ko00000,ko00001,ko00002,ko01000,ko01001,ko01504,ko02022",-,-,-,"HAMP,HATPase_c,HisKA",b0570
Ecoli_C77964,Ecoli_C77964A185,469008.B21_03772,2.46e-143,405.0,"COG3863@1|root,COG3863@2|Bacteria,1RBGX@1224|Proteobacteria,1S01D@1236|Gammaproteobacteria,3XN9V@561|Escherichia",2|Bacteria,S,"Permuted papain-like amidase enzyme, YaeF/YiiX, C92 family",yiiX,-,-,-,-,-,-,-,-,-,-,-,Peptidase_C92,b3937
Ecoli_C32017,Ecoli_C32017A638,316407.1736519,4.0000000000000004e-261,717.0,"COG3005@1|root,COG3005@2|Bacteria,1MWV2@1224|Proteobacteria,1RQ52@1236|Gammaproteobacteria,3XP3J@561|Escherichia",2|Bacteria,C,Part of the anaerobic respiratory chain of trimethylamine-N-oxide reductase TorZ. Required for electron transfer to the TorZ terminal enzyme,torY,"GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006091,GO:0008150,GO:0008152,GO:0009055,GO:0009060,GO:0009061,GO:0009987,GO:0015980,GO:0016020,GO:0016021,GO:0016491,GO:0020037,GO:0022900,GO:0031224,GO:0031226,GO:0032991,GO:0044237,GO:0044425,GO:0044459,GO:0044464,GO:0045333,GO:0046906,GO:0048037,GO:0055114,GO:0071944,GO:0097159,GO:1901363,GO:1902494,GO:1990204",-,"ko:K02569,ko:K03532,ko:K07821","ko02020,map02020",-,-,-,"ko00000,ko00001,ko02000",5.A.3.4,-,"iEC042_1314.EC042_1072,iEcolC_1368.EcolC_1448",Cytochrom_NNT,b1873
Ecoli_C19306,Ecoli_C19306A150,481805.EcolC_3699,5.16e-285,785.0,"COG2271@1|root,COG2271@2|Bacteria,1MVPS@1224|Proteobacteria,1RPRB@1236|Gammaproteobacteria,3XP6M@561|Escherichia",2|Bacteria,P,Probably responsible for the transport of L-galactonate from the periplasm across the inner membrane. Is essential for growth on L-galactonate as the sole carbon source,yjjL,"GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006820,GO:0008150,GO:0008643,GO:0015711,GO:0015718,GO:0015849,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0034219,GO:0034220,GO:0042873,GO:0044425,GO:0044464,GO:0046942,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944,GO:0098656,GO:1903825,GO:1905039",-,-,-,-,-,-,-,-,-,"iEC55989_1330.EC55989_4444,iEcE24377_1341.EcE24377A_4501",MFS_1,b4356
Ecoli_C20569,Ecoli_C20569A463,155864.EDL933_4141,0.0,868.0,"COG2213@1|root,COG2213@2|Bacteria,1Q9RR@1224|Proteobacteria,1RN2G@1236|Gammaproteobacteria,3XMGV@561|Escherichia",2|Bacteria,G,"The phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS), a major carbohydrate active transport system, catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. The enzyme II CmtAB PTS system is involved in D-mannitol transport",cmtA,"GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008150,GO:0008643,GO:0009401,GO:0015144,GO:0016020,GO:0016740,GO:0016772,GO:0016773,GO:0022804,GO:0022857,GO:0034219,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944,GO:0090563",2.7.1.197,"ko:K02798,ko:K02799,ko:K02800","ko00051,ko02060,map00051,map02060",M00274,R02704,"RC00017,RC03206","ko00000,ko00001,ko00002,ko01000,ko02000","4.A.2.1.12,4.A.2.1.2,4.A.2.1.24,4.A.2.1.5",-,-,"PTS_EIIA_2,PTS_EIIC,PTS_IIB",b2933
Ecoli_C114421,Ecoli_C114421A144,316407.85676712,1.12e-107,311.0,"COG2165@1|root,COG2165@2|Bacteria,1NP8Q@1224|Proteobacteria,1SGBJ@1236|Gammaproteobacteria",2|Bacteria,U,general secretion pathway protein,gspH,"GO:0002790,GO:0006810,GO:0008104,GO:0008150,GO:0009306,GO:0009987,GO:0015031,GO:0015833,GO:0032940,GO:0033036,GO:0042886,GO:0045184,GO:0046903,GO:0051179,GO:0051234,GO:0071702,GO:0071705",-,"ko:K02456,ko:K02457,ko:K02458,ko:K02650,ko:K02679","ko02020,ko03070,ko05111,map02020,map03070,map05111",M00331,-,-,"ko00000,ko00001,ko00002,ko02035,ko02044","3.A.15,3.A.15.2",-,-,"GspH,N_methyl",b3329
Ecoli_C9512,Ecoli_C9512A128,362663.ECP_0894,0.0,1022.0,"COG0577@1|root,COG1136@1|root,COG0577@2|Bacteria,COG1136@2|Bacteria,1MU45@1224|Proteobacteria,1RNUJ@1236|Gammaproteobacteria,3XNDE@561|Escherichia",2|Bacteria,V,"Part of the tripartite efflux system MacAB-TolC. MacB is a non-canonical ABC transporter that contains transmembrane domains (TMD), which form a pore in the inner membrane, and an ATP-binding domain (NBD), which is responsible for energy generation",macB,"GO:0000166,GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006855,GO:0008144,GO:0008150,GO:0008559,GO:0015238,GO:0015399,GO:0015405,GO:0015893,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0022804,GO:0022857,GO:0030554,GO:0031224,GO:0031226,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0035639,GO:0036094,GO:0042221,GO:0042493,GO:0042623,GO:0042626,GO:0042802,GO:0042891,GO:0042895,GO:0042908,GO:0042910,GO:0043167,GO:0043168,GO:0043492,GO:0044425,GO:0044459,GO:0044464,GO:0046618,GO:0046677,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071944,GO:0097159,GO:0097367,GO:0098796,GO:1901265,GO:1901363,GO:1902495,GO:1990195,GO:1990196,GO:1990351",-,"ko:K02003,ko:K02004,ko:K05685","ko02010,map02010","M00258,M00709",-,-,"ko00000,ko00001,ko00002,ko01000,ko02000","3.A.1,3.A.1.122.1,3.A.1.122.12",-,-,"ABC_tran,FtsX,MacB_PCD",b0879
