Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Characterization	Genes in same transcription unit	Accession-1
cho	b1741	1823515	1824402	excinuclease Cho	WELL-CHARACTERIZED	cho	b1741
ytcA	b4622	4304128	4304403	putative lipoprotein YtcA	UNCHARACTERIZED		b4622
insI3	b4284	4507466	4508617	KpLE2 phage-like element; IS30 transposase	PARTIAL	insM // insI3	b4284
rplS	b2606	2744183	2744530	50S ribosomal subunit protein L19	WELL-CHARACTERIZED	rplS // trmD // rimM // rpsP	b2606
yedN	b4495	2011223	2012351	putative type III secreted effector, N-terminal fragment		yedN	b4495
phnE1	b4583	4322443	4323281	phosphonate/phosphate ABC transporter membrane subunit PhnE1	WELL-CHARACTERIZED	phnK // phnJ // phnI // phnH // phnG // phnF // phnE1 // phnD // phnC // phnP // phnO // phnN // phnM // phnL	b4583
b0701	b0701	733370	733591				b0701
rnr	b4179	4406654	4409095	RNase R	WELL-CHARACTERIZED	rlmB // rnr // nsrR // yjfJ // yjfI	b4179
yqaE	b2666	2796870	2797028	Pmp3 family protein YqaE	PARTIAL	yqaE // kbp	b2666
ydiS	b1699	1781395	1782684	putative electron transfer flavoprotein-quinone oxidoreductase YdiS	PARTIAL	fadK // ydiT // ydiS // ydiR // ydiQ	b1699
yqjC	b3097	3248969	3249337	DUF1090 domain-containing protein YqjC	UNCHARACTERIZED	yqjK // yqjE // yqjC // yqjD	b3097
pcnB	b0143	157729	159126	poly(A) polymerase I	WELL-CHARACTERIZED	folK // pcnB	b0143
hypF	b2712	2835173	2837425	carbamoyl--[HypE] ligase	WELL-CHARACTERIZED	hydN // hypF	b2712
insCD1		381351	382579	IS2 element transposase InsAB'	PARTIAL	insD1 // insC1 // insCD1	
mnmC	b2324	2441764	2443770	fused tRNA 5-aminomethyl-2-thiouridylate methyltransferase and tRNA 5-aminomethyl-2-thiouridylate synthase	WELL-CHARACTERIZED	mnmC	b2324
phnM	b4095	4316082	4317218	RPnTP hydrolase	WELL-CHARACTERIZED	phnP // phnO // phnN // phnM // phnL // phnK // phnJ // phnI // phnH // phnG // phnF // phnE1 // phnD // phnC	b4095
ycjT	b1316	1377884	1380151	kojibiose phosphorylase	PARTIAL	ymjB // ycjV // ycjU // ycjT // ycjS // ycjR // ycjQ // ycjP // ycjO // ycjN // ycjM // ompG	b1316
sraG	b4449	3311183	3311398	small regulatory RNA SraG	WELL-CHARACTERIZED	sraG	b4449
insL2	b0582	608065	609177	IS186/IS421 transposase	PARTIAL	insL2	b0582
asd	b3433	3573775	3574878	aspartate-semialdehyde dehydrogenase	WELL-CHARACTERIZED	asd	b3433
yqaB	b2690	2816937	2817503	fructose-1-phosphate phosphatase YqaB	PARTIAL	yqaB // yqaA	b2690
yfhL	b2562	2699663	2699923	putative 4Fe-4S cluster-containing protein YfhL	PARTIAL	yfhL	b2562
arcA	b4401	4639590	4640306	DNA-binding transcriptional dual regulator ArcA-phosphorylated // DNA-binding transcriptional dual regulator ArcA	WELL-CHARACTERIZED	arcA	b4401
bamB	b2512	2637474	2638652	outer membrane protein assembly factor BamB	PARTIAL	der // bamB	b2512
C0664		2835055	2835167				
yhhZ	b3442	3581863	3583041	putative endonuclease YhhZ	PARTIAL	insB6 // insA6 // insAB6 // yrhA // yhhZ	b3442
yggM	b2956	3098558	3099565	DUF1202 domain-containing protein YggM	UNCHARACTERIZED	yggM	b2956
pgm	b0688	713558	715198	phosphoglucomutase	WELL-CHARACTERIZED	pgm // seqA	b0688
ygiN	b3029	3173142	3173456	putative quinol monooxygenase YgiN	WELL-CHARACTERIZED	ygiN	b3029
emrE	b0543	568315	568647	DLP12 prophage; multidrug/betaine/choline efflux transporter EmrE	WELL-CHARACTERIZED	emrE	b0543
fliC	b1923	2002110	2003606	flagellar filament structural protein	WELL-CHARACTERIZED	fliX // fliC	b1923
thyA	b2827	2964361	2965155	thymidylate synthase	WELL-CHARACTERIZED	thyA // lgt	b2827
torT	b0994	1056261	1057289	TorT-TMAO // periplasmic trimethylamine-N-oxide binding protein	PARTIAL	torT	b0994
maeA	b1479	1553972	1555669	malate dehydrogenase (oxaloacetate-decarboxylating)	WELL-CHARACTERIZED	maeA	b1479
garR	b3125	3271867	3272751	tartronate semialdehyde reductase	WELL-CHARACTERIZED	rnpB // garK // garR // garL // garP	b3125
speB	b2937	3082877	3083797	agmatinase	WELL-CHARACTERIZED	speB // speA	b2937
