From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
AAC73112.1	P0AD86	reviewed	LPT_ECOLI	thr operon leader peptide (thr operon attenuator)	thrL b0001 JW4367	Escherichia coli (strain K12)	21
AAC73113.1	P00561	reviewed	AK1H_ECOLI	Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I) (AKI-HDI) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	thrA thrA1 thrA2 b0002 JW0001	Escherichia coli (strain K12)	820
AAC73114.1	P00547	reviewed	KHSE_ECOLI	Homoserine kinase (HK) (HSK) (EC 2.7.1.39)	thrB b0003 JW0002	Escherichia coli (strain K12)	310
AAC73115.1	P00934	reviewed	THRC_ECOLI	Threonine synthase (TS) (EC 4.2.3.1)	thrC b0004 JW0003	Escherichia coli (strain K12)	428
AAC73116.1	P75616	reviewed	YAAX_ECOLI	Uncharacterized protein YaaX	yaaX b0005 JW0004	Escherichia coli (strain K12)	98
AAC73117.1	P0A8I3	reviewed	YAAA_ECOLI	DNA-binding and peroxide stress resistance protein YaaA (UPF0246 protein YaaA)	yaaA b0006 JW0005	Escherichia coli (strain K12)	258
AAC73118.1	P30143	reviewed	YAAJ_ECOLI	Uncharacterized transporter YaaJ	yaaJ b0007 JW0006	Escherichia coli (strain K12)	476
AAC73119.1	P0A870	reviewed	TALB_ECOLI	Transaldolase B (EC 2.2.1.2)	talB yaaK b0008 JW0007	Escherichia coli (strain K12)	317
AAC73120.1	P0AF03	reviewed	MOG_ECOLI	Molybdopterin adenylyltransferase (MPT adenylyltransferase) (EC 2.7.7.75)	mog chlG mogA yaaG b0009 JW0008	Escherichia coli (strain K12)	195
AAC73121.1	P0AC98	reviewed	SATP_ECOLI	Succinate-acetate/proton symporter SatP (Succinate-acetate transporter protein)	satP yaaH b0010 JW0009	Escherichia coli (strain K12)	188
AAC73122.1	P75617	reviewed	YAAW_ECOLI	UPF0174 protein YaaW	yaaW b0011 JW0010	Escherichia coli (strain K12)	237
AYC08161.1	P28697	reviewed	MBIA_ECOLI	Uncharacterized protein MbiA (Modifier of biofilm)	mbiA htgA htpY b0012 JW5001	Escherichia coli (strain K12)	161
AAC73124.1	P28696	reviewed	YAAI_ECOLI	UPF0412 protein YaaI	yaaI b0013 JW0012	Escherichia coli (strain K12)	134
AAC73125.1	P0A6Y8	reviewed	DNAK_ECOLI	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK groP grpF seg b0014 JW0013	Escherichia coli (strain K12)	638
AAC73126.1	P08622	reviewed	DNAJ_ECOLI	Chaperone protein DnaJ (HSP40) (Heat shock protein J)	dnaJ groP b0015 JW0014	Escherichia coli (strain K12)	376
AAC73127.1	P0CF91	reviewed	INSL1_ECOLI	Putative transposase InsL for insertion sequence element IS186A	insL1 b0016 JW0015	Escherichia coli (strain K12)	370
AAC73129.1	P33236	reviewed	MOKC_ECOLI	Regulatory protein MokC	mokC gefL b0018 JW5879	Escherichia coli (strain K12)	69
AAT48122.1	P0ACG4	reviewed	HOKC_ECOLI	Toxic protein HokC (Protein Gef)	hokC gef b4412 JW5002 b0018.1	Escherichia coli (strain K12)	50
AAC73130.1	P13738	reviewed	NHAA_ECOLI	Na(+)/H(+) antiporter NhaA (Na(+)/H(+) exchanger) (Na(+)/Li(+)/H(+) antiporter) (Sodium/proton antiporter NhaA)	nhaA ant b0019 JW0018	Escherichia coli (strain K12)	388
AAC73131.1	P0A9G2	reviewed	NHAR_ECOLI	Transcriptional activator protein NhaR (Na(+)/H(+) antiporter regulatory protein)	nhaR antO b0020 JW0019	Escherichia coli (strain K12)	301
